date,나스닥종합
2022-11-19,33.89987
2022-11-20,3.41469
2022-11-21,13.09007
2022-11-22,47.8404
2022-11-23,43.15968
2022-11-24,41.99271
2022-11-25,19.46399
2022-11-26,22.48369
2022-11-27,3.19081
2022-11-28,11.44834
2022-11-29,42.26805
2022-11-30,38.91898
2022-12-01,55.9564
2022-12-02,41.08822
2022-12-03,29.67075
2022-12-04,3.38767
2022-12-05,9.48882
2022-12-06,47.11346
2022-12-07,51.35802
2022-12-08,45.92462
2022-12-09,42.22559
2022-12-10,33.82525
2022-12-11,3.54077
2022-12-12,12.21774
2022-12-13,51.68096
2022-12-14,64.74531
2022-12-15,61.19938
2022-12-16,59.50748
2022-12-17,40.82189
2022-12-18,3.76722
2022-12-19,13.24318
2022-12-20,59.3518
2022-12-21,55.73768
2022-12-22,50.42908
2022-12-23,68.21275
2022-12-24,41.57971
2022-12-25,3.83026
2022-12-26,6.59264
2022-12-27,22.52229
2022-12-28,62.35348
2022-12-29,63.37892
2022-12-30,47.6577
2022-12-31,32.21697
2023-01-01,4.78108
2023-01-02,8.97546
2023-01-03,25.34513
2023-01-04,71.52451
2023-01-05,65.2754
2023-01-06,57.77054
2023-01-07,44.79883
2023-01-08,4.60095
2023-01-09,15.47289
2023-01-10,63.93345
2023-01-11,57.94037
2023-01-12,62.30073
2023-01-13,59.28103
2023-01-14,41.93224
2023-01-15,4.00267
2023-01-16,8.0002
2023-01-17,26.59187
2023-01-18,55.4379
2023-01-19,56.9085
2023-01-20,48.34862
2023-01-21,36.10128
2023-01-22,4.54048
2023-01-23,9.71784
2023-01-24,51.82249
2023-01-25,55.05963
2023-01-26,61.58923
2023-01-27,59.22957
2023-01-28,46.75578
2023-01-29,4.9805
2023-01-30,15.63501
2023-01-31,53.93641
2023-02-01,54.91939
2023-02-02,75.18623
2023-02-03,80.37131
2023-02-04,47.34505
2023-02-05,5.38321
2023-02-06,16.41984
2023-02-07,56.58813
2023-02-08,63.98363
2023-02-09,60.41454
2023-02-10,62.17979
2023-02-11,43.53666
2023-02-12,4.42983
2023-02-13,14.4243
2023-02-14,61.90059
2023-02-15,69.02975
2023-02-16,65.14673
2023-02-17,64.51114
2023-02-18,46.94105
2023-02-19,4.36421
2023-02-20,8.11085
2023-02-21,27.11166
2023-02-22,67.95414
2023-02-23,69.94969
2023-02-24,61.85942
2023-02-25,45.11019
2023-02-26,4.53019
2023-02-27,14.38312
2023-02-28,50.96046
2023-03-01,49.27884
2023-03-02,58.06132
2023-03-03,53.9763
2023-03-04,39.87751
2023-03-05,4.53919
2023-03-06,12.98843
2023-03-07,53.86951
2023-03-08,61.43097
2023-03-09,60.39653
2023-03-10,66.59547
2023-03-11,57.62
2023-03-12,6.12688
2023-03-13,28.5025
2023-03-14,75.5066
2023-03-15,78.40922
2023-03-16,82.07094
2023-03-17,65.75402
2023-03-18,38.98845
2023-03-19,4.18022
2023-03-20,24.70439
2023-03-21,57.10536
2023-03-22,60.72848
2023-03-23,77.98463
2023-03-24,62.52717
2023-03-25,37.90126
2023-03-26,4.13648
2023-03-27,21.27298
2023-03-28,61.37694
2023-03-29,53.44235
2023-03-30,51.57932
2023-03-31,45.2543
2023-04-01,36.15146
2023-04-02,4.1635
2023-04-03,21.29614
2023-04-04,56.83774
2023-04-05,53.30725
2023-04-06,60.9575
2023-04-07,45.89375
2023-04-08,11.40589
2023-04-09,2.83313
2023-04-10,20.98349
2023-04-11,51.39147
2023-04-12,57.29192
2023-04-13,56.64989
2023-04-14,50.29785
2023-04-15,28.55396
2023-04-16,3.53305
2023-04-17,18.04613
2023-04-18,50.54102
2023-04-19,47.02983
2023-04-20,56.00272
2023-04-21,55.64504
2023-04-22,32.84999
2023-04-23,3.6244
2023-04-24,19.69301
2023-04-25,52.71155
2023-04-26,70.98799
2023-04-27,90.90488
2023-04-28,47.38237
2023-04-29,25.2036
2023-04-30,3.14578
2023-05-01,15.58354
2023-05-02,42.53953
2023-05-03,51.00163
2023-05-04,49.80379
2023-05-05,38.3014
2023-05-06,34.03497
2023-05-07,4.64083
2023-05-08,17.51991
2023-05-09,45.43828
2023-05-10,49.03953
2023-05-11,52.67038
2023-05-12,43.16096
2023-05-13,26.34355
2023-05-14,3.3555
2023-05-15,16.26159
2023-05-16,44.18769
2023-05-17,44.16195
2023-05-18,45.03686
2023-05-19,45.39196
2023-05-20,24.77001
2023-05-21,3.21269
2023-05-22,17.28317
2023-05-23,45.75865
2023-05-24,50.14989
2023-05-25,55.95383
2023-05-26,51.533
2023-05-27,34.01438
2023-05-28,4.12619
2023-05-29,9.36788
2023-05-30,32.53091
2023-05-31,51.36832
2023-06-01,48.7153
2023-06-02,48.80022
2023-06-03,30.91362
2023-06-04,3.7016
