date,지방세법
2023-03-07,46.31024
2023-03-08,43.07228
2023-03-09,46.98795
2023-03-10,38.78012
2023-03-11,9.48795
2023-03-12,8.28313
2023-03-13,48.56927
2023-03-14,55.42168
2023-03-15,49.47289
2023-03-16,48.87048
2023-03-17,40.06024
2023-03-18,7.75602
2023-03-19,7.07831
2023-03-20,39.98493
2023-03-21,46.23493
2023-03-22,43.75
2023-03-23,51.05421
2023-03-24,43.59939
2023-03-25,6.7771
2023-03-26,8.43373
2023-03-27,45.25602
2023-03-28,49.84939
2023-03-29,48.41867
2023-03-30,43.22289
2023-03-31,41.94277
2023-04-01,6.4759
2023-04-02,7.15361
2023-04-03,38.78012
2023-04-04,45.78313
2023-04-05,47.81626
2023-04-06,46.53614
2023-04-07,36.97289
2023-04-08,9.86445
2023-04-09,10.76807
2023-04-10,44.2771
2023-04-11,51.88253
2023-04-12,50.82831
2023-04-13,47.59036
2023-04-14,41.86746
2023-04-15,7.45481
2023-04-16,8.81024
2023-04-17,44.87951
2023-04-18,46.91265
2023-04-19,44.0512
2023-04-20,46.15963
2023-04-21,41.03915
2023-04-22,6.6265
2023-04-23,7.83132
2023-04-24,43.44879
2023-04-25,51.58132
2023-04-26,46.98795
2023-04-27,49.32228
2023-04-28,38.0271
2023-04-29,7.83132
2023-04-30,6.3253
2023-05-01,22.96686
2023-05-02,42.77108
2023-05-03,32.98192
2023-05-04,37.5753
2023-05-05,5.94879
2023-05-06,5.42168
2023-05-07,5.34638
2023-05-08,41.49096
2023-05-09,47.13855
2023-05-10,44.72891
2023-05-11,42.46987
2023-05-12,32.00301
2023-05-13,5.04518
2023-05-14,5.94879
2023-05-15,40.06024
2023-05-16,48.49397
2023-05-17,44.57831
2023-05-18,46.46084
2023-05-19,36.06927
2023-05-20,6.4006
2023-05-21,5.42168
2023-05-22,49.02108
2023-05-23,45.63253
2023-05-24,47.28915
2023-05-25,44.72891
2023-05-26,32.60542
