date,월배당ETF
2023-05-02,17.40259
2023-05-03,24.02597
2023-05-04,27.40259
2023-05-05,12.72727
2023-05-06,13.11688
2023-05-07,12.20779
2023-05-08,15.06493
2023-05-09,18.05194
2023-05-10,17.66233
2023-05-11,17.53246
2023-05-12,15.06493
2023-05-13,45.1948
2023-05-14,20.51948
2023-05-15,19.61038
2023-05-16,20.0
2023-05-17,23.11688
2023-05-18,25.06493
2023-05-19,17.14285
2023-05-20,15.1948
2023-05-21,12.5974
2023-05-22,15.06493
2023-05-23,17.40259
2023-05-24,14.80519
2023-05-25,16.23376
2023-05-26,13.50649
2023-05-27,11.68831
2023-05-28,12.20779
2023-05-29,12.33766
2023-05-30,17.66233
2023-05-31,17.40259
2023-06-01,16.75324
2023-06-02,17.01298
2023-06-03,12.07792
2023-06-04,10.38961
2023-06-05,15.45454
2023-06-06,12.98701
2023-06-07,15.1948
2023-06-08,14.80519
2023-06-09,16.88311
2023-06-10,8.57142
2023-06-11,12.5974
2023-06-12,24.93506
2023-06-13,18.05194
2023-06-14,16.88311
2023-06-15,18.83116
2023-06-16,16.36363
2023-06-17,9.0909
2023-06-18,8.57142
2023-06-19,13.63636
2023-06-20,18.83116
2023-06-21,15.32467
2023-06-22,16.75324
2023-06-23,13.76623
2023-06-24,9.61038
2023-06-25,10.0
2023-06-26,18.83116
2023-06-27,17.92207
2023-06-28,19.61038
2023-06-29,21.16883
2023-06-30,21.68831
2023-07-01,13.76623
2023-07-02,14.80519
2023-07-03,23.8961
2023-07-04,25.84415
2023-07-05,21.2987
2023-07-06,19.0909
2023-07-07,14.15584
2023-07-08,10.0
2023-07-09,17.01298
2023-07-10,33.50649
2023-07-11,52.46753
2023-07-12,30.25974
2023-07-13,43.76623
2023-07-14,25.71428
2023-07-15,16.36363
2023-07-16,20.25974
2023-07-17,23.24675
2023-07-18,25.97402
2023-07-19,20.25974
2023-07-20,19.87012
2023-07-21,21.2987
2023-07-22,15.84415
2023-07-23,15.45454
