date,대위변제
2023-04-27,10.00617
2023-04-28,7.99876
2023-04-29,2.9339
2023-04-30,2.77949
2023-05-01,4.4163
2023-05-02,8.95614
2023-05-03,9.11056
2023-05-04,7.65904
2023-05-05,3.6751
2023-05-06,2.50154
2023-05-07,2.81037
2023-05-08,9.20321
2023-05-09,11.02532
2023-05-10,10.59295
2023-05-11,9.72822
2023-05-12,8.27671
2023-05-13,3.27362
2023-05-14,2.9339
2023-05-15,9.72822
2023-05-16,9.41939
2023-05-17,10.28412
2023-05-18,9.01791
2023-05-19,7.72081
2023-05-20,2.40889
2023-05-21,2.50154
2023-05-22,10.46942
2023-05-23,8.83261
2023-05-24,16.76961
2023-05-25,12.38418
2023-05-26,9.69734
