date,미국주식추천
2022-12-17,3.11212
2022-12-18,2.05949
2022-12-19,2.92906
2022-12-20,4.11899
2022-12-21,4.11899
2022-12-22,4.07322
2022-12-23,3.89016
2022-12-24,2.28832
2022-12-25,1.87643
2022-12-26,3.02059
2022-12-27,3.79862
2022-12-28,4.21052
2022-12-29,4.62242
2022-12-30,4.34782
2022-12-31,2.51716
2023-01-01,2.42562
2023-01-02,3.43249
2023-01-03,4.80549
2023-01-04,5.17162
2023-01-05,4.89702
2023-01-06,4.30205
2023-01-07,4.30205
2023-01-08,1.83066
2023-01-09,4.94279
2023-01-10,5.40045
2023-01-11,5.44622
2023-01-12,5.62929
2023-01-13,6.49885
2023-01-14,4.53089
2023-01-15,3.52402
2023-01-16,3.93592
2023-01-17,5.17162
2023-01-18,6.91075
2023-01-19,5.12585
2023-01-20,5.30892
2023-01-21,4.11899
2023-01-22,3.52402
2023-01-23,4.80549
2023-01-24,7.32265
2023-01-25,6.77345
2023-01-26,9.70251
2023-01-27,8.74141
2023-01-28,8.00915
2023-01-29,4.16475
2023-01-30,6.91075
2023-01-31,8.51258
2023-02-01,9.19908
2023-02-02,10.98398
2023-02-03,10.84668
2023-02-04,6.72768
2023-02-05,4.21052
2023-02-06,7.27688
2023-02-07,8.87871
2023-02-08,10.75514
2023-02-09,9.70251
2023-02-10,8.69565
2023-02-11,5.72082
2023-02-12,3.56979
2023-02-13,6.36155
2023-02-14,8.05491
2023-02-15,9.93135
2023-02-16,9.51945
2023-02-17,7.27688
2023-02-18,3.61556
2023-02-19,2.28832
2023-02-20,4.75972
2023-02-21,7.32265
2023-02-22,6.08695
2023-02-23,6.63615
2023-02-24,6.27002
2023-02-25,3.29519
2023-02-26,2.56292
2023-02-27,3.89016
2023-02-28,6.63615
2023-03-01,7.59725
2023-03-02,5.08009
2023-03-03,6.27002
2023-03-04,5.44622
2023-03-05,2.70022
2023-03-06,6.36155
2023-03-07,7.13958
2023-03-08,5.94965
2023-03-09,4.71395
2023-03-10,4.71395
2023-03-11,1.37299
2023-03-12,1.83066
2023-03-13,5.72082
2023-03-14,5.53775
2023-03-15,7.64302
2023-03-16,7.45995
2023-03-17,7.27688
2023-03-18,4.80549
2023-03-19,2.42562
2023-03-20,4.94279
2023-03-21,7.32265
2023-03-22,8.37528
2023-03-23,6.68192
2023-03-24,6.63615
2023-03-25,4.85125
2023-03-26,2.19679
2023-03-27,5.08009
2023-03-28,5.90389
2023-03-29,7.36842
2023-03-30,7.13958
2023-03-31,9.10755
2023-04-01,7.23112
2023-04-02,3.24942
2023-04-03,6.63615
2023-04-04,8.37528
2023-04-05,8.92448
2023-04-06,6.86498
2023-04-07,7.64302
2023-04-08,2.51716
2023-04-09,3.47826
2023-04-10,6.36155
2023-04-11,8.46681
2023-04-12,7.55148
2023-04-13,7.82608
2023-04-14,8.60411
2023-04-15,5.08009
2023-04-16,2.97482
2023-04-17,6.63615
2023-04-18,9.42791
2023-04-19,7.68878
2023-04-20,7.09382
2023-04-21,5.53775
2023-04-22,3.70709
2023-04-23,2.60869
2023-04-24,4.71395
2023-04-25,5.08009
2023-04-26,5.21739
2023-04-27,5.08009
2023-04-28,6.59038
2023-04-29,5.03432
2023-04-30,1.87643
2023-05-01,4.34782
2023-05-02,6.81922
2023-05-03,5.90389
2023-05-04,5.53775
2023-05-05,5.90389
2023-05-06,4.57665
2023-05-07,3.02059
2023-05-08,4.71395
2023-05-09,6.91075
2023-05-10,9.10755
2023-05-11,8.46681
2023-05-12,6.13272
2023-05-13,3.29519
2023-05-14,2.47139
2023-05-15,4.53089
2023-05-16,6.17848
2023-05-17,6.77345
2023-05-18,8.10068
2023-05-19,8.51258
2023-05-20,3.93592
2023-05-21,2.47139
2023-05-22,6.95652
2023-05-23,8.64988
2023-05-24,7.96338
2023-05-25,8.51258
