date,학생돈버는법
2023-04-29,19.67213
2023-04-30,34.97267
2023-05-01,26.2295
2023-05-02,20.76502
2023-05-03,12.02185
2023-05-04,20.76502
2023-05-05,24.59016
2023-05-06,27.86885
2023-05-07,40.43715
2023-05-08,19.12568
2023-05-09,10.92896
2023-05-10,13.11475
2023-05-11,17.48633
2023-05-12,16.93989
2023-05-13,26.77595
2023-05-14,33.87978
2023-05-15,26.2295
2023-05-16,13.11475
2023-05-17,22.95081
2023-05-18,13.11475
2023-05-19,16.39344
2023-05-20,28.96174
2023-05-21,37.15846
2023-05-22,34.97267
2023-05-23,22.40437
