date,메지온주가
2023-04-08,0.55962
2023-04-09,0.51034
2023-04-10,3.57947
2023-04-11,4.19189
2023-04-12,5.16331
2023-04-13,5.11755
2023-04-14,6.85273
2023-04-15,0.95382
2023-04-16,0.7356
2023-04-17,4.74095
2023-04-18,4.22708
2023-04-19,10.22455
2023-04-20,9.1581
2023-04-21,5.53991
2023-04-22,0.72856
2023-04-23,0.62297
2023-04-24,7.80656
2023-04-25,6.60988
2023-04-26,6.92313
2023-04-27,5.58918
2023-04-28,4.61072
2023-04-29,0.58074
2023-04-30,0.59129
2023-05-01,1.15444
2023-05-02,8.04237
2023-05-03,9.88666
2023-05-04,7.5285
2023-05-05,1.13684
2023-05-06,0.88342
2023-05-07,0.68632
2023-05-08,11.66056
2023-05-09,8.86597
2023-05-10,7.4018
2023-05-11,6.81402
2023-05-12,5.61734
2023-05-13,0.74968
2023-05-14,0.54906
2023-05-15,5.1985
2023-05-16,7.53202
2023-05-17,8.21835
2023-05-18,7.15894
2023-05-19,6.51133
2023-05-20,0.72152
2023-05-21,0.61945
2023-05-22,7.05687
2023-05-23,5.90947
2023-05-24,5.20906
2023-05-25,4.70927
