date,오늘미국증시
2022-11-10,27.11792
2022-11-11,32.26905
2022-11-12,16.73052
2022-11-13,5.23627
2022-11-14,17.07109
2022-11-15,24.35078
2022-11-16,23.75478
2022-11-17,24.64878
2022-11-18,19.96594
2022-11-19,11.45168
2022-11-20,3.53341
2022-11-21,11.06853
2022-11-22,19.36994
2022-11-23,20.47679
2022-11-24,54.06555
2022-11-25,40.18731
2022-11-26,8.38654
2022-11-27,3.61856
2022-11-28,11.15368
2022-11-29,19.92337
2022-11-30,17.92252
2022-12-01,20.64708
2022-12-02,16.81566
2022-12-03,10.00425
2022-12-04,3.06513
2022-12-05,8.64197
2022-12-06,17.1988
2022-12-07,16.73052
2022-12-08,17.24137
2022-12-09,16.04938
2022-12-10,9.23797
2022-12-11,3.19284
2022-12-12,8.04597
2022-12-13,17.83737
2022-12-14,20.26394
2022-12-15,20.17879
2022-12-16,17.92252
2022-12-17,10.17454
2022-12-18,2.5117
2022-12-19,6.5134
2022-12-20,16.56023
2022-12-21,18.3908
2022-12-22,18.0928
2022-12-23,18.94423
2022-12-24,11.7071
2022-12-25,2.85227
2022-12-26,38.52703
2022-12-27,23.11621
2022-12-28,15.41081
2022-12-29,16.47509
2022-12-30,20.77479
2022-12-31,5.10855
2023-01-01,2.34142
2023-01-02,26.01106
2023-01-03,18.51851
2023-01-04,16.6028
2023-01-05,17.53937
2023-01-06,16.00681
2023-01-07,10.68539
2023-01-08,4.21455
2023-01-09,8.55683
2023-01-10,18.77394
2023-01-11,18.64623
2023-01-12,18.17794
2023-01-13,18.6888
2023-01-14,10.55768
2023-01-15,3.02256
2023-01-16,46.78586
2023-01-17,29.50191
2023-01-18,17.92252
2023-01-19,16.56023
2023-01-20,14.51681
2023-01-21,8.98254
2023-01-22,3.7037
2023-01-23,7.62026
2023-01-24,12.77139
2023-01-25,15.11281
2023-01-26,16.98595
2023-01-27,18.13537
2023-01-28,11.53682
2023-01-29,3.61856
2023-01-30,9.15283
2023-01-31,16.17709
2023-02-01,18.05023
2023-02-02,19.75308
2023-02-03,21.11536
2023-02-04,11.45168
2023-02-05,2.97999
2023-02-06,10.00425
2023-02-07,17.66709
2023-02-08,19.66794
2023-02-09,17.28395
2023-02-10,17.92252
2023-02-11,10.60025
2023-02-12,2.97999
2023-02-13,7.27969
2023-02-14,16.47509
2023-02-15,20.64708
2023-02-16,19.79565
2023-02-17,19.36994
2023-02-18,11.40911
2023-02-19,2.93742
2023-02-20,38.39931
2023-02-21,27.71392
2023-02-22,19.96594
2023-02-23,20.51936
2023-02-24,19.32737
2023-02-25,9.87654
2023-02-26,2.5117
2023-02-27,8.5994
2023-02-28,16.6028
2023-03-01,14.64452
2023-03-02,16.81566
2023-03-03,16.04938
2023-03-04,9.15283
2023-03-05,2.8097
2023-03-06,8.47169
2023-03-07,17.92252
2023-03-08,20.09365
2023-03-09,19.41251
2023-03-10,17.53937
2023-03-11,11.66453
2023-03-12,3.91656
2023-03-13,9.87654
2023-03-14,18.9868
2023-03-15,19.66794
2023-03-16,20.85994
2023-03-17,19.41251
2023-03-18,12.13282
2023-03-19,3.44827
2023-03-20,8.85483
2023-03-21,18.90166
2023-03-22,19.79565
2023-03-23,23.49936
2023-03-24,20.64708
2023-03-25,12.26053
2023-03-26,2.68199
2023-03-27,9.28054
2023-03-28,18.90166
2023-03-29,17.62452
2023-03-30,18.17794
2023-03-31,16.77309
2023-04-01,10.08939
2023-04-02,2.42656
2023-04-03,8.68454
2023-04-04,16.38995
2023-04-05,16.85823
2023-04-06,19.49765
2023-04-07,53.68241
2023-04-08,15.02767
2023-04-09,2.72456
2023-04-10,10.98339
2023-04-11,16.26223
2023-04-12,17.45423
2023-04-13,19.71051
2023-04-14,16.98595
2023-04-15,8.81226
2023-04-16,2.89484
2023-04-17,8.04597
2023-04-18,17.70966
2023-04-19,17.75223
2023-04-20,18.00766
2023-04-21,15.15538
2023-04-22,9.02511
2023-04-23,2.8097
2023-04-24,8.3014
2023-04-25,15.28309
2023-04-26,16.9008
2023-04-27,23.8825
2023-04-28,14.34653
2023-04-29,7.49255
2023-04-30,2.42656
2023-05-01,9.40825
2023-05-02,15.11281
2023-05-03,15.53852
2023-05-04,15.15538
2023-05-05,12.09025
2023-05-06,8.68454
2023-05-07,2.68199
2023-05-08,8.5994
2023-05-09,16.94338
2023-05-10,17.70966
2023-05-11,16.17709
2023-05-12,14.85738
2023-05-13,8.08854
2023-05-14,2.17113
2023-05-15,7.96083
2023-05-16,16.13452
2023-05-17,15.19795
2023-05-18,15.02767
2023-05-19,15.87909
2023-05-20,7.44997
2023-05-21,3.27799
2023-05-22,8.25883
2023-05-23,14.0911
