date,재택
2023-05-03,6.13043
2023-05-04,5.47826
2023-05-05,1.69565
2023-05-06,1.43478
2023-05-07,2.56521
2023-05-08,8.43478
2023-05-09,6.47826
2023-05-10,6.95652
2023-05-11,7.21739
2023-05-12,7.30434
2023-05-13,2.43478
2023-05-14,2.04347
2023-05-15,8.65217
2023-05-16,7.52173
2023-05-17,7.3913
2023-05-18,6.52173
2023-05-19,6.04347
2023-05-20,2.21739
2023-05-21,2.86956
2023-05-22,7.73913
2023-05-23,7.3913
2023-05-24,6.7826
2023-05-25,6.56521
2023-05-26,5.86956
2023-05-27,1.73913
2023-05-28,2.60869
2023-05-29,3.52173
