date,부가가치세
2022-08-16,13.88298
2022-08-17,14.75188
2022-08-18,20.19694
2022-08-19,13.53543
2022-08-20,5.94709
2022-08-21,5.98571
2022-08-22,15.35045
2022-08-23,16.74068
2022-08-24,16.43174
2022-08-25,15.92971
2022-08-26,13.59335
2022-08-27,5.27128
2022-08-28,6.37188
2022-08-29,15.00289
2022-08-30,14.09538
2022-08-31,15.64008
2022-09-01,14.8098
2022-09-02,11.95211
2022-09-03,5.0782
2022-09-04,4.88511
2022-09-05,12.95616
2022-09-06,14.38501
2022-09-07,14.88704
2022-09-08,12.02934
2022-09-09,4.6534
2022-09-10,4.05483
2022-09-11,4.22861
2022-09-12,6.29465
2022-09-13,16.97238
2022-09-14,17.93782
2022-09-15,17.37787
2022-09-16,17.64819
2022-09-17,7.33732
2022-09-18,6.42981
2022-09-19,14.52017
2022-09-20,15.44699
2022-09-21,15.54354
2022-09-22,15.31183
2022-09-23,12.22243
2022-09-24,6.10156
2022-09-25,6.68082
2022-09-26,15.06082
2022-09-27,14.44294
2022-09-28,14.88704
2022-09-29,15.83317
2022-09-30,15.56284
2022-10-01,7.70418
2022-10-02,20.21625
2022-10-03,12.43483
2022-10-04,24.21316
2022-10-05,28.53832
2022-10-06,36.30044
2022-10-07,34.8909
2022-10-08,12.08727
2022-10-09,9.48059
2022-10-10,11.73971
2022-10-11,41.78412
2022-10-12,41.74551
2022-10-13,32.05251
2022-10-14,26.53021
2022-10-15,10.09847
2022-10-16,10.67773
2022-10-17,29.79339
2022-10-18,26.97431
2022-10-19,26.24058
2022-10-20,25.60339
2022-10-21,23.4022
2022-10-22,11.64317
2022-10-23,9.88607
2022-10-24,32.32284
2022-10-25,34.38887
2022-10-26,22.80363
2022-10-27,17.18478
2022-10-28,15.60146
2022-10-29,10.25294
2022-10-30,7.41455
2022-10-31,19.42459
2022-11-01,17.93782
2022-11-02,14.8098
2022-11-03,17.011
2022-11-04,13.88298
2022-11-05,7.31801
2022-11-06,6.46843
2022-11-07,16.83722
2022-11-08,17.28132
2022-11-09,21.49063
2022-11-10,19.57906
2022-11-11,15.08013
2022-11-12,8.10967
2022-11-13,6.70013
2022-11-14,16.20003
2022-11-15,17.74473
2022-11-16,16.60552
2022-11-17,15.94902
2022-11-18,14.07607
2022-11-19,6.15949
2022-11-20,6.6229
2022-11-21,15.73662
2022-11-22,16.54759
2022-11-23,15.60146
2022-11-24,16.23865
