date,종합지수
2023-02-06,57.11759
2023-02-07,56.55761
2023-02-08,52.69672
2023-02-09,55.87975
2023-02-10,56.32183
2023-02-11,4.30297
2023-02-12,2.09254
2023-02-13,54.05246
2023-02-14,51.13468
2023-02-15,61.21426
2023-02-16,52.57883
2023-02-17,55.46713
2023-02-18,3.89036
2023-02-19,2.09254
2023-02-20,54.52402
2023-02-21,53.75773
2023-02-22,63.3068
2023-02-23,55.90922
2023-02-24,55.6145
2023-02-25,4.71559
2023-02-26,1.44414
2023-02-27,57.64809
2023-02-28,49.80842
2023-03-01,5.74712
2023-03-02,51.2231
2023-03-03,49.33687
2023-03-04,3.53669
2023-03-05,2.21043
2023-03-06,44.73916
2023-03-07,51.39994
2023-03-08,57.17653
2023-03-09,56.88181
2023-03-10,57.05865
2023-03-11,5.06926
2023-03-12,2.62304
2023-03-13,61.36162
2023-03-14,72.26643
2023-03-15,58.32596
2023-03-16,67.0498
2023-03-17,54.22929
2023-03-18,4.42086
2023-03-19,2.65251
2023-03-20,53.28617
2023-03-21,47.50957
2023-03-22,49.24845
2023-03-23,54.9661
2023-03-24,52.01886
2023-03-25,3.97877
2023-03-26,2.00412
2023-03-27,51.10521
2023-03-28,45.18125
2023-03-29,49.66106
2023-03-30,49.57264
2023-03-31,50.81049
2023-04-01,3.71352
2023-04-02,1.47362
2023-04-03,48.51164
2023-04-04,45.68228
2023-04-05,45.21072
2023-04-06,51.45888
2023-04-07,48.45269
2023-04-08,2.7704
2023-04-09,1.97465
2023-04-10,45.7707
2023-04-11,48.09902
2023-04-12,52.81461
2023-04-13,53.72826
2023-04-14,48.74742
2023-04-15,3.68405
2023-04-16,2.21043
2023-04-17,49.77895
2023-04-18,48.04008
2023-04-19,47.56852
2023-04-20,53.05039
2023-04-21,57.47126
2023-04-22,3.35985
2023-04-23,2.09254
2023-04-24,49.60212
2023-04-25,67.93398
2023-04-26,59.06277
2023-04-27,53.43353
2023-04-28,55.67344
2023-04-29,4.62717
2023-04-30,2.2399
2023-05-01,11.31741
2023-05-02,43.4129
2023-05-03,50.39787
2023-05-04,49.30739
2023-05-05,4.71559
2023-05-06,2.71146
2023-05-07,1.53256
2023-05-08,44.68022
2023-05-09,49.04214
2023-05-10,51.45888
2023-05-11,44.916
2023-05-12,53.2567
2023-05-13,3.62511
2023-05-14,2.09254
2023-05-15,52.10727
2023-05-16,49.92631
2023-05-17,48.68847
2023-05-18,47.8043
2023-05-19,49.39581
2023-05-20,4.06719
2023-05-21,1.59151
2023-05-22,47.24432
2023-05-23,46.47804
2023-05-24,53.90509
2023-05-25,54.31771
2023-05-26,49.33687
