date,환테크
2022-05-03,5.14198
2022-05-04,5.44896
2022-05-05,3.22333
2022-05-06,4.91174
2022-05-07,2.91634
2022-05-08,2.8396
2022-05-09,6.90713
2022-05-10,5.6792
2022-05-11,4.60475
2022-05-12,6.21642
2022-05-13,6.29316
2022-05-14,2.76285
2022-05-15,3.76055
2022-05-16,4.60475
2022-05-17,6.5234
2022-05-18,5.14198
2022-05-19,5.14198
2022-05-20,4.83499
2022-05-21,2.8396
2022-05-22,2.53261
2022-05-23,5.06523
2022-05-24,4.22102
2022-05-25,3.83729
2022-05-26,4.52801
2022-05-27,3.45356
2022-05-28,2.53261
2022-05-29,2.22563
2022-05-30,6.5234
2022-05-31,5.37221
2022-06-01,2.91634
2022-06-02,3.99079
2022-06-03,6.06293
2022-06-04,2.60936
2022-06-05,3.30007
2022-06-06,4.06753
2022-06-07,8.21181
2022-06-08,13.58403
2022-06-09,11.58864
2022-06-10,14.50498
2022-06-11,6.21642
2022-06-12,6.98388
2022-06-13,13.04681
2022-06-14,9.20951
2022-06-15,7.13737
2022-06-16,9.13277
2022-06-17,8.28856
2022-06-18,6.67689
2022-06-19,33.69148
2022-06-20,21.10514
2022-06-21,9.97697
2022-06-22,19.33998
2022-06-23,16.96085
2022-06-24,10.28396
2022-06-25,34.30544
2022-06-26,16.19339
2022-06-27,12.04911
2022-06-28,9.74673
2022-06-29,8.44205
2022-06-30,7.75134
2022-07-01,6.90713
2022-07-02,4.29777
2022-07-03,4.75825
2022-07-04,5.06523
2022-07-05,5.90943
2022-07-06,8.36531
2022-07-07,7.36761
2022-07-08,7.90483
2022-07-09,4.22102
2022-07-10,3.37682
2022-07-11,8.13507
2022-07-12,10.59094
2022-07-13,8.97927
2022-07-14,8.67229
2022-07-15,11.81887
2022-07-16,6.29316
2022-07-17,5.37221
2022-07-18,7.21412
2022-07-19,6.29316
2022-07-20,6.75364
2022-07-21,6.21642
2022-07-22,7.29086
2022-07-23,2.60936
2022-07-24,4.75825
2022-07-25,6.83039
2022-07-26,7.21412
2022-07-27,6.60015
2022-07-28,7.21412
2022-07-29,6.60015
2022-07-30,2.8396
2022-07-31,4.29777
2022-08-01,5.37221
2022-08-02,6.36991
2022-08-03,7.06062
2022-08-04,5.37221
