date,라울뒤피
2022-10-05,0.65589
2022-10-06,0.49191
2022-10-07,0.70274
2022-10-08,0.46849
2022-10-09,0.91356
2022-10-10,0.98383
2022-10-11,0.51534
2022-10-12,0.84328
2022-10-13,0.96041
2022-10-14,1.00726
2022-10-15,0.79643
2022-10-16,0.42164
2022-10-17,0.72616
2022-10-18,0.93698
2022-10-19,0.86671
2022-10-20,0.84328
2022-10-21,1.00726
2022-10-22,0.53876
2022-10-23,0.86671
2022-10-24,1.00726
2022-10-25,0.65589
2022-10-26,0.84328
2022-10-27,0.93698
2022-10-28,0.70274
2022-10-29,0.42164
2022-10-30,0.60904
2022-10-31,0.70274
2022-11-01,0.35137
2022-11-02,0.91356
2022-11-03,0.77301
2022-11-04,0.60904
2022-11-05,0.44506
2022-11-06,0.51534
2022-11-07,0.86671
2022-11-08,0.58561
2022-11-09,0.86671
2022-11-10,0.81986
2022-11-11,0.96041
2022-11-12,0.53876
2022-11-13,0.84328
2022-11-14,1.2415
2022-11-15,0.70274
2022-11-16,0.58561
2022-11-17,0.86671
2022-11-18,0.65589
2022-11-19,0.39821
2022-11-20,0.39821
2022-11-21,0.67931
2022-11-22,0.46849
2022-11-23,0.46849
2022-11-24,0.46849
2022-11-25,0.60904
2022-11-26,0.46849
2022-11-27,0.32794
2022-11-28,0.74959
2022-11-29,0.35137
2022-11-30,0.72616
2022-12-01,0.44506
2022-12-02,0.51534
2022-12-03,0.56219
2022-12-04,0.65589
2022-12-05,0.84328
2022-12-06,0.58561
2022-12-07,0.86671
2022-12-08,0.67931
2022-12-09,0.89013
2022-12-10,0.58561
2022-12-11,0.89013
2022-12-12,0.96041
2022-12-13,0.74959
2022-12-14,0.65589
2022-12-15,0.79643
2022-12-16,0.53876
2022-12-17,0.37479
2022-12-18,0.42164
2022-12-19,1.10096
2022-12-20,0.89013
2022-12-21,0.63246
2022-12-22,1.12438
2022-12-23,1.45233
2022-12-24,2.34246
2022-12-25,2.92808
2022-12-26,2.48301
2022-12-27,2.22534
2022-12-28,2.15507
2022-12-29,1.56945
2022-12-30,2.29561
2022-12-31,2.24877
2023-01-01,1.63972
2023-01-02,3.67767
2023-01-03,3.49027
2023-01-04,2.99836
2023-01-05,1.5226
2023-01-06,1.07753
2023-01-07,1.00726
2023-01-08,0.79643
2023-01-09,1.38205
2023-01-10,1.05411
2023-01-11,0.81986
2023-01-12,1.56945
2023-01-13,0.98383
2023-01-14,0.56219
2023-01-15,0.79643
2023-01-16,1.38205
2023-01-17,0.91356
2023-01-18,0.91356
2023-01-19,0.93698
2023-01-20,0.96041
2023-01-21,0.39821
2023-01-22,0.77301
2023-01-23,0.53876
2023-01-24,0.77301
2023-01-25,0.86671
