date,주식장외거래
2022-04-12,12.39744
2022-04-13,15.04102
2022-04-14,15.58796
2022-04-15,17.2288
2022-04-16,4.10209
2022-04-17,4.28441
2022-04-18,10.84776
2022-04-19,15.4968
2022-04-20,13.76481
2022-04-21,17.41112
2022-04-22,13.67365
2022-04-23,3.55515
2022-04-24,3.82862
2022-04-25,16.40838
2022-04-26,17.13764
2022-04-27,20.23701
2022-04-28,17.50227
2022-04-29,13.40018
2022-04-30,3.37283
2022-05-01,2.18778
2022-05-02,12.85323
2022-05-03,11.94165
2022-05-04,10.93892
2022-05-05,5.01367
2022-05-06,9.02461
2022-05-07,1.73199
2022-05-08,1.54968
2022-05-09,9.4804
2022-05-10,10.1185
2022-05-11,9.38924
2022-05-12,11.12123
2022-05-13,8.84229
2022-05-14,2.64357
2022-05-15,1.64083
2022-05-16,8.3865
2022-05-17,8.02187
2022-05-18,9.4804
2022-05-19,9.93618
2022-05-20,10.20966
2022-05-21,2.27894
2022-05-22,4.46672
2022-05-23,12.4886
2022-05-24,10.02734
2022-05-25,11.21239
2022-05-26,10.7566
2022-05-27,11.21239
2022-05-28,3.37283
2022-05-29,3.09936
2022-05-30,19.32543
2022-05-31,12.67092
2022-06-01,2.64357
2022-06-02,7.93072
2022-06-03,9.4804
2022-06-04,1.82315
2022-06-05,2.91704
2022-06-06,2.27894
2022-06-07,7.65724
2022-06-08,9.29808
2022-06-09,10.39197
2022-06-10,10.20966
2022-06-11,2.55241
2022-06-12,2.73473
2022-06-13,8.56882
2022-06-14,14.8587
2022-06-15,13.76481
2022-06-16,13.40018
2022-06-17,9.4804
2022-06-18,1.09389
2022-06-19,1.91431
2022-06-20,7.29261
2022-06-21,12.76207
2022-06-22,9.93618
2022-06-23,9.02461
2022-06-24,8.47766
2022-06-25,1.45852
2022-06-26,0.91157
2022-06-27,8.3865
2022-06-28,7.47493
2022-06-29,8.65998
2022-06-30,8.56882
2022-07-01,10.02734
2022-07-02,2.18778
2022-07-03,0.91157
2022-07-04,6.0164
2022-07-05,5.56061
2022-07-06,6.92798
2022-07-07,9.02461
2022-07-08,5.01367
2022-07-09,2.09662
2022-07-10,1.36736
2022-07-11,7.93072
2022-07-12,8.02187
2022-07-13,7.7484
2022-07-14,7.01914
2022-07-15,6.0164
2022-07-16,1.2762
2022-07-17,0.72926
2022-07-18,5.19598
2022-07-19,3.82862
2022-07-20,8.29535
2022-07-21,6.65451
2022-07-22,6.28988
2022-07-23,1.45852
2022-07-24,1.09389
2022-07-25,4.37556
2022-07-26,3.09936
2022-07-27,6.0164
2022-07-28,5.74293
2022-07-29,5.3783
2022-07-30,1.54968
2022-07-31,1.00273
2022-08-01,4.46672
2022-08-02,6.38103
2022-08-03,6.28988
2022-08-04,5.10483
2022-08-05,6.0164
2022-08-06,1.18505
2022-08-07,1.00273
2022-08-08,4.55788
2022-08-09,5.28714
2022-08-10,6.0164
2022-08-11,6.83682
2022-08-12,6.65451
2022-08-13,1.09389
2022-08-14,1.00273
2022-08-15,1.64083
2022-08-16,6.28988
2022-08-17,7.20145
2022-08-18,5.65177
2022-08-19,4.28441
2022-08-20,1.36736
2022-08-21,1.2762
2022-08-22,5.28714
2022-08-23,4.92251
2022-08-24,6.38103
2022-08-25,6.56335
2022-08-26,6.74567
2022-08-27,1.82315
2022-08-28,1.36736
2022-08-29,5.56061
2022-08-30,6.28988
2022-08-31,7.47493
2022-09-01,3.19051
2022-09-02,3.91978
2022-09-03,0.91157
2022-09-04,0.91157
2022-09-05,4.37556
2022-09-06,6.10756
2022-09-07,5.46946
2022-09-08,7.20145
2022-09-09,1.73199
2022-09-10,1.54968
2022-09-11,1.00273
2022-09-12,0.82041
2022-09-13,5.56061
2022-09-14,5.3783
2022-09-15,7.83956
2022-09-16,6.28988
2022-09-17,1.00273
2022-09-18,0.72926
2022-09-19,4.10209
2022-09-20,4.92251
2022-09-21,4.92251
2022-09-22,4.55788
2022-09-23,3.82862
2022-09-24,0.91157
2022-09-25,0.82041
2022-09-26,4.19325
2022-09-27,4.92251
2022-09-28,4.55788
2022-09-29,6.10756
2022-09-30,4.55788
2022-10-01,0.45578
2022-10-02,0.54694
2022-10-03,1.18505
2022-10-04,4.46672
2022-10-05,6.47219
2022-10-06,4.7402
2022-10-07,5.28714
2022-10-08,1.2762
2022-10-09,0.91157
2022-10-10,1.00273
2022-10-11,4.37556
2022-10-12,5.01367
2022-10-13,6.47219
2022-10-14,7.38377
2022-10-15,4.01093
2022-10-16,2.00546
2022-10-17,6.0164
2022-10-18,6.38103
2022-10-19,3.46399
2022-10-20,4.7402
2022-10-21,5.65177
2022-10-22,1.73199
2022-10-23,0.6381
2022-10-24,4.92251
2022-10-25,6.19872
2022-10-26,4.37556
2022-10-27,4.46672
2022-10-28,4.28441
2022-10-29,0.6381
2022-10-30,0.54694
2022-10-31,4.83135
2022-11-01,4.92251
2022-11-02,4.7402
2022-11-03,4.64904
2022-11-04,4.28441
2022-11-05,1.18505
2022-11-06,0.54694
2022-11-07,3.37283
2022-11-08,4.92251
2022-11-09,4.55788
2022-11-10,5.74293
2022-11-11,10.48313
2022-11-12,2.00546
2022-11-13,1.64083
2022-11-14,7.20145
2022-11-15,5.28714
2022-11-16,6.38103
2022-11-17,5.3783
2022-11-18,4.28441
2022-11-19,1.09389
2022-11-20,0.82041
2022-11-21,4.83135
2022-11-22,3.82862
2022-11-23,4.7402
2022-11-24,5.01367
2022-11-25,4.92251
2022-11-26,0.82041
2022-11-27,1.45852
2022-11-28,3.55515
2022-11-29,4.28441
2022-11-30,4.55788
2022-12-01,5.19598
2022-12-02,3.82862
2022-12-03,1.45852
2022-12-04,1.00273
2022-12-05,4.19325
2022-12-06,3.28167
2022-12-07,4.28441
2022-12-08,3.82862
2022-12-09,4.10209
2022-12-10,1.2762
2022-12-11,0.91157
2022-12-12,3.82862
2022-12-13,3.91978
2022-12-14,2.55241
2022-12-15,3.73746
2022-12-16,3.91978
2022-12-18,0.6381
2022-12-19,2.3701
2022-12-20,3.6463
2022-12-21,2.3701
2022-12-22,3.37283
2022-12-23,3.19051
2022-12-24,0.82041
2022-12-25,0.91157
2022-12-26,3.37283
2022-12-27,5.19598
2022-12-28,3.82862
2022-12-29,4.19325
2022-12-30,2.73473
2022-12-31,1.2762
2023-01-01,0.45578
2023-01-02,2.09662
2023-01-03,3.6463
2023-01-04,4.37556
2023-01-05,4.28441
2023-01-06,3.73746
2023-01-07,1.00273
2023-01-08,1.82315
2023-01-09,4.19325
2023-01-10,4.7402
2023-01-11,4.46672
2023-01-12,5.46946
2023-01-13,3.82862
2023-01-14,0.82041
2023-01-15,1.36736
2023-01-16,5.3783
2023-01-17,4.7402
2023-01-18,2.09662
2023-01-19,4.55788
2023-01-20,2.55241
2023-01-21,2.09662
2023-01-22,0.72926
2023-01-23,1.09389
2023-01-24,0.72926
2023-01-25,4.83135
2023-01-26,5.3783
2023-01-27,6.38103
2023-01-28,1.91431
2023-01-29,2.3701
2023-01-30,6.65451
2023-01-31,5.92525
2023-02-01,7.20145
2023-02-02,6.56335
2023-02-03,7.1103
2023-02-04,1.00273
2023-02-05,1.73199
2023-02-06,5.3783
2023-02-07,6.28988
2023-02-08,7.83956
2023-02-09,7.7484
2023-02-10,5.65177
2023-02-11,2.46125
2023-02-12,1.36736
2023-02-13,5.3783
2023-02-14,5.46946
2023-02-15,5.28714
2023-02-16,6.10756
2023-02-17,7.20145
2023-02-18,0.82041
2023-02-19,1.18505
2023-02-20,5.46946
2023-02-21,5.56061
2023-02-22,7.56608
2023-02-23,6.0164
2023-02-24,5.92525
2023-02-25,1.45852
2023-02-26,1.18505
2023-02-27,5.19598
2023-02-28,5.92525
2023-03-01,2.00546
2023-03-02,5.92525
2023-03-03,6.83682
2023-03-04,2.64357
2023-03-05,2.27894
2023-03-06,7.1103
2023-03-07,9.11577
2023-03-08,6.74567
2023-03-09,7.29261
2023-03-10,5.83409
2023-03-11,1.00273
2023-03-12,2.09662
2023-03-13,5.56061
2023-03-14,6.0164
2023-03-15,7.93072
2023-03-16,8.47766
2023-03-17,7.56608
2023-03-18,2.27894
2023-03-19,2.55241
2023-03-20,7.7484
2023-03-21,10.39197
2023-03-22,8.11303
2023-03-23,10.66545
2023-03-24,10.57429
2023-03-25,2.27894
2023-03-26,2.18778
2023-03-27,8.3865
2023-03-28,9.4804
2023-03-29,10.7566
2023-03-30,11.39471
2023-03-31,10.02734
2023-04-01,2.73473
2023-04-02,1.73199
2023-04-03,9.75387
2023-04-04,7.56608
2023-04-05,11.94165
2023-04-06,11.03008
2023-04-07,9.75387
2023-04-08,2.00546
2023-04-09,1.2762
2023-04-10,9.38924
2023-04-11,11.66818
2023-04-12,10.02734
2023-04-13,13.49134
2023-04-14,10.30082
2023-04-15,2.55241
2023-04-16,2.27894
2023-04-17,10.84776
2023-04-18,12.67092
2023-04-19,11.66818
2023-04-20,12.57976
2023-04-21,9.11577
2023-04-22,1.18505
2023-04-23,1.36736
2023-04-24,7.1103
2023-04-25,6.47219
2023-04-26,7.1103
2023-04-27,10.84776
2023-04-28,10.66545
2023-04-29,1.82315
2023-04-30,0.72926
2023-05-01,1.64083
2023-05-02,9.93618
2023-05-03,8.11303
2023-05-04,6.28988
2023-05-05,2.00546
2023-05-06,0.72926
2023-05-07,1.2762
2023-05-08,6.0164
2023-05-09,6.92798
2023-05-10,8.93345
2023-05-11,8.47766
2023-05-12,7.93072
2023-05-13,1.91431
2023-05-14,1.18505
2023-05-15,6.0164
2023-05-16,7.01914
2023-05-17,6.19872
2023-05-18,5.46946
2023-05-19,5.74293
2023-05-20,1.54968
2023-05-22,6.10756
2023-05-23,6.28988
2023-05-24,6.74567
2023-05-25,5.92525
2023-05-26,4.7402
