date,김프
2023-03-19,1.5467
2023-03-20,2.07457
2023-03-21,1.97243
2023-03-22,1.90204
2023-03-23,2.19559
2023-03-24,1.88573
2023-03-25,1.4334
2023-03-26,1.24457
2023-03-27,1.63682
2023-03-28,1.85569
2023-03-29,1.95097
2023-03-30,2.05912
2023-03-31,1.78188
2023-04-01,1.60506
2023-04-02,1.31495
2023-04-03,2.23851
2023-04-04,2.03422
2023-04-05,1.99217
2023-04-06,2.01534
2023-04-07,1.55785
2023-04-08,1.20337
2023-04-09,1.07376
2023-04-10,1.36301
2023-04-11,2.06942
2023-04-12,1.9441
2023-04-13,1.66343
2023-04-14,1.82909
2023-04-15,1.34671
2023-04-16,1.14157
2023-04-17,1.70892
2023-04-18,1.72008
2023-04-19,2.07027
2023-04-20,1.87973
2023-04-21,1.60678
2023-04-22,1.21195
2023-04-23,1.08148
2023-04-24,1.79132
2023-04-25,1.35272
2023-04-26,1.63253
2023-04-27,1.55871
2023-04-28,1.32267
2023-04-29,0.93299
2023-04-30,0.85574
2023-05-01,1.18105
2023-05-02,1.28834
2023-05-03,1.26002
2023-05-04,1.32096
2023-05-05,0.90124
2023-05-06,0.93299
2023-05-07,0.89694
2023-05-08,1.35786
2023-05-09,1.38361
2023-05-10,1.21195
2023-05-11,1.26946
2023-05-12,1.32954
2023-05-13,0.84802
2023-05-14,0.69009
2023-05-15,1.06518
2023-05-16,0.91583
2023-05-17,1.04887
2023-05-18,1.0008
2023-05-19,0.89437
2023-05-20,0.62056
2023-05-21,0.60941
2023-05-22,0.93385
2023-05-23,0.98535
2023-05-24,1.05058
2023-05-25,1.17848
2023-05-26,0.86347
2023-05-27,0.71927
