date,유한양행주가
2023-03-07,3.56987
2023-03-08,3.0754
2023-03-09,3.35761
2023-03-10,3.14052
2023-03-11,0.47517
2023-03-12,0.33769
2023-03-13,3.09711
2023-03-14,3.16464
2023-03-15,3.05128
2023-03-16,2.81007
2023-03-17,3.16947
2023-03-18,0.42935
2023-03-19,0.48
2023-03-20,2.91861
2023-03-21,2.76183
2023-03-22,2.85107
2023-03-23,2.89208
2023-03-24,2.73529
2023-03-25,0.37387
2023-03-26,0.44623
2023-03-27,2.75218
2023-03-28,2.9162
2023-03-29,2.71841
2023-03-30,3.12846
2023-03-31,2.96203
2023-04-01,0.4004
2023-04-02,0.40522
2023-04-03,2.97168
2023-04-04,3.34073
2023-04-05,3.8352
2023-04-06,5.51883
2023-04-07,4.66496
2023-04-08,0.53789
2023-04-09,0.46553
2023-04-10,5.44165
2023-04-11,6.17492
2023-04-12,7.3086
2023-04-13,7.81513
2023-04-14,6.50537
2023-04-15,0.87076
2023-04-16,0.67297
2023-04-17,5.10154
2023-04-18,4.5347
2023-04-19,4.81451
2023-04-20,4.26455
2023-04-21,4.49852
2023-04-22,0.71879
2023-04-23,0.37628
2023-04-24,4.28385
2023-04-25,3.89309
2023-04-26,4.16566
2023-04-27,4.33933
2023-04-28,3.86656
2023-04-29,0.63678
2023-04-30,0.33286
2023-05-01,1.0396
2023-05-02,3.65912
2023-05-03,3.37932
2023-05-04,4.28144
2023-05-05,0.66814
2023-05-06,0.49206
2023-05-07,0.44864
2023-05-08,3.94375
2023-05-09,3.56264
2023-05-10,3.4348
2023-05-11,3.29007
2023-05-12,2.83901
2023-05-13,0.36181
2023-05-14,0.27015
2023-05-15,3.68324
2023-05-16,3.26113
2023-05-17,3.42274
2023-05-18,3.28042
2023-05-19,3.31419
2023-05-20,0.40522
2023-05-21,0.33527
2023-05-22,4.23078
2023-05-23,5.76004
2023-05-24,4.43099
2023-05-25,3.84003
