date,오늘주식시황
2022-11-15,5.81154
2022-11-16,6.36502
2022-11-17,15.3729
2022-11-18,5.63165
2022-11-19,0.91324
2022-11-20,0.49813
2022-11-21,6.3235
2022-11-22,5.50712
2022-11-23,5.00899
2022-11-24,4.87062
2022-11-25,4.63539
2022-11-26,0.94091
2022-11-27,0.37359
2022-11-28,5.24422
2022-11-29,4.70458
2022-11-30,3.98505
2022-12-01,4.77376
2022-12-02,5.61782
2022-12-03,0.95475
2022-12-04,0.51196
2022-12-05,4.414
2022-12-06,5.03666
2022-12-07,4.12342
2022-12-08,4.20644
2022-12-09,3.98505
2022-12-10,0.95475
2022-12-11,0.44278
2022-12-12,3.16867
2022-12-13,3.79133
2022-12-14,3.90203
2022-12-15,3.91587
2022-12-16,4.52469
2022-12-17,0.83022
2022-12-18,0.33208
2022-12-19,4.0404
2022-12-20,5.02283
2022-12-21,4.09575
2022-12-22,3.83284
2022-12-23,7.98394
2022-12-24,1.13463
2022-12-25,0.40127
2022-12-26,3.69447
2022-12-27,3.95738
2022-12-28,7.90092
2022-12-29,5.96374
2022-12-30,22.41594
2022-12-31,0.58115
2023-01-01,0.2629
2023-01-02,12.10737
2023-01-03,5.18887
2023-01-04,5.3134
2023-01-05,5.1612
2023-01-06,4.75992
2023-01-07,1.03777
2023-01-08,0.49813
2023-01-09,5.4241
2023-01-10,4.91213
2023-01-11,4.69074
2023-01-12,4.95364
2023-01-13,4.63539
2023-01-14,0.87173
2023-01-15,0.48429
2023-01-16,4.09575
2023-01-17,4.44167
2023-01-18,4.56621
2023-01-19,4.01273
2023-01-20,3.61145
2023-01-21,0.91324
2023-01-22,0.37359
2023-01-23,0.41511
2023-01-24,0.85789
2023-01-25,3.9297
2023-01-26,4.62155
2023-01-27,4.87062
2023-01-28,0.96859
2023-01-29,0.5258
2023-01-30,4.88446
2023-01-31,4.85678
2023-02-01,4.09575
2023-02-02,4.66306
2023-02-03,4.53853
2023-02-04,0.92707
2023-02-05,0.41511
2023-02-06,5.23038
2023-02-07,4.13726
2023-02-08,3.86052
2023-02-09,4.27563
2023-02-10,4.38632
2023-02-11,0.80254
2023-02-12,0.34592
2023-02-13,3.33471
2023-02-14,3.54227
2023-02-15,6.15746
2023-02-16,4.10958
2023-02-17,4.414
2023-02-18,0.83022
2023-02-19,0.35976
2023-02-20,3.37622
2023-02-21,3.32088
2023-02-22,4.85678
2023-02-23,3.79133
2023-02-24,3.37622
2023-02-25,0.83022
2023-02-26,0.2629
2023-02-27,3.48692
2023-02-28,3.00262
2023-03-01,1.3837
2023-03-02,3.54227
2023-03-03,3.14099
2023-03-04,0.81638
2023-03-05,0.24906
2023-03-06,3.01646
2023-03-07,3.68064
2023-03-08,3.97121
2023-03-09,4.12342
2023-03-10,4.45551
2023-03-11,0.84405
2023-03-12,0.30441
2023-03-13,3.9297
2023-03-14,8.35754
2023-03-15,4.66306
2023-03-16,4.74609
2023-03-17,3.87436
2023-03-18,0.83022
2023-03-19,0.22139
2023-03-20,3.30704
2023-03-21,3.73599
2023-03-22,3.56994
2023-03-23,5.46561
2023-03-24,3.99889
2023-03-25,0.85789
2023-03-26,0.31825
2023-03-27,3.45925
2023-03-28,3.69447
2023-03-29,3.94354
2023-03-30,3.95738
2023-03-31,3.30704
2023-04-01,0.70568
2023-04-02,0.34592
2023-04-03,3.45925
2023-04-04,3.91587
2023-04-05,4.01273
2023-04-06,4.96748
2023-04-07,4.08191
2023-04-08,0.53964
2023-04-09,0.24906
2023-04-10,3.79133
2023-04-11,4.09575
2023-04-12,4.75992
2023-04-13,4.71841
2023-04-14,3.80517
2023-04-15,0.85789
2023-04-16,0.31825
2023-04-17,3.90203
2023-04-18,4.27563
2023-04-19,3.34855
2023-04-20,5.43794
2023-04-21,4.71841
2023-04-22,0.77487
2023-04-23,0.47045
2023-04-24,4.414
2023-04-25,8.70347
2023-04-26,4.84295
2023-04-27,4.17877
2023-04-28,4.55237
2023-04-29,0.85789
2023-04-30,0.2629
2023-05-01,7.40279
2023-05-02,3.0303
2023-05-03,3.50076
2023-05-04,3.07181
2023-05-05,0.84405
2023-05-06,0.47045
2023-05-07,0.30441
2023-05-08,2.83658
2023-05-09,3.30704
2023-05-10,2.89193
2023-05-11,2.85042
2023-05-12,3.05797
2023-05-13,0.7887
2023-05-14,0.37359
2023-05-15,2.97495
2023-05-16,3.07181
2023-05-17,3.05797
2023-05-18,2.96111
2023-05-19,2.94728
2023-05-20,0.48429
2023-05-21,0.22139
2023-05-22,3.09948
2023-05-23,2.64286
2023-05-24,2.78123
2023-05-25,2.90577
2023-05-26,2.72588
