date,골절보험
2023-04-06,34.7826
2023-04-07,30.43478
2023-04-08,19.56521
2023-04-09,32.60869
2023-04-10,45.65217
2023-04-11,32.60869
2023-04-12,58.69565
2023-04-13,41.30434
2023-04-14,58.69565
2023-04-15,19.56521
2023-04-16,41.30434
2023-04-17,34.7826
2023-04-18,65.21739
2023-04-19,34.7826
2023-04-20,71.73913
2023-04-21,43.47826
2023-04-22,34.7826
2023-04-23,30.43478
2023-04-24,56.52173
2023-04-25,45.65217
2023-04-26,43.47826
2023-04-27,19.56521
2023-04-28,58.69565
2023-04-29,21.73913
2023-04-30,17.3913
2023-05-01,32.60869
2023-05-02,30.43478
2023-05-03,50.0
2023-05-04,43.47826
2023-05-05,15.21739
2023-05-06,32.60869
2023-05-07,21.73913
2023-05-08,41.30434
2023-05-09,43.47826
2023-05-10,43.47826
2023-05-11,60.86956
2023-05-12,58.69565
2023-05-13,34.7826
2023-05-14,32.60869
2023-05-15,43.47826
2023-05-16,34.7826
2023-05-17,41.30434
2023-05-18,39.13043
2023-05-19,34.7826
2023-05-20,15.21739
2023-05-21,15.21739
2023-05-22,60.86956
2023-05-23,58.69565
2023-05-24,41.30434
2023-05-25,63.04347
2023-05-26,34.7826
2023-05-27,41.30434
2023-05-28,41.30434
2023-05-29,15.21739
2023-05-30,73.91304
2023-05-31,45.65217
2023-06-01,41.30434
2023-06-02,36.95652
2023-06-03,21.73913
2023-06-04,13.04347
2023-06-05,41.30434
2023-06-06,23.91304
2023-06-07,45.65217
2023-06-08,32.60869
2023-06-09,50.0
2023-06-10,19.56521
2023-06-11,15.21739
2023-06-12,80.43478
2023-06-13,60.86956
2023-06-14,50.0
2023-06-15,56.52173
2023-06-16,28.26086
2023-06-17,21.73913
2023-06-18,21.73913
2023-06-19,30.43478
2023-06-20,39.13043
2023-06-21,41.30434
2023-06-22,58.69565
2023-06-23,26.08695
2023-06-24,43.47826
2023-06-25,30.43478
2023-06-26,39.13043
2023-06-27,50.0
2023-06-28,50.0
2023-06-29,28.26086
2023-06-30,32.60869
2023-07-01,23.91304
2023-07-02,23.91304
2023-07-03,45.65217
2023-07-04,56.52173
2023-07-05,47.82608
2023-07-06,47.82608
2023-07-07,23.91304
2023-07-08,26.08695
2023-07-09,34.7826
2023-07-10,63.04347
2023-07-11,36.95652
