date,자동차보험
2023-03-22,66.9635
2023-03-23,67.6671
2023-03-24,60.8839
2023-03-25,35.51011
2023-03-26,36.90633
2023-03-27,75.30782
2023-03-28,67.70008
2023-03-29,61.79639
2023-03-30,61.4226
2023-03-31,55.45294
2023-04-01,37.78583
2023-04-02,37.74186
2023-04-03,77.29771
2023-04-04,72.03166
2023-04-05,65.49032
2023-04-06,67.78803
2023-04-07,58.76209
2023-04-08,35.14731
2023-04-09,37.17018
2023-04-10,72.29551
2023-04-11,69.92084
2023-04-12,67.63412
2023-04-13,67.42524
2023-04-14,61.4116
2023-04-15,37.44503
2023-04-16,39.39094
2023-04-17,73.40589
2023-04-18,71.0642
2023-04-19,61.22471
2023-04-20,63.69832
2023-04-21,57.23394
2023-04-22,36.89533
2023-04-23,36.0598
2023-04-24,73.58179
2023-04-25,68.61257
2023-04-26,66.32585
2023-04-27,63.3905
2023-04-28,58.14643
2023-04-29,33.57519
2023-04-30,34.76253
2023-05-01,54.2766
2023-05-02,73.63676
2023-05-03,70.04177
2023-05-04,60.42216
2023-05-05,37.06024
2023-05-06,35.45514
2023-05-07,37.97273
2023-05-08,76.94591
2023-05-09,74.50527
2023-05-10,70.07475
2023-05-11,70.64643
2023-05-12,61.2467
2023-05-13,33.3883
2023-05-14,35.92788
2023-05-15,74.94503
2023-05-16,73.42788
2023-05-17,67.11741
2023-05-18,65.18249
2023-05-19,60.80694
2023-05-20,32.51978
2023-05-21,36.75241
2023-05-22,73.33992
2023-05-23,66.91952
2023-05-24,62.8518
2023-05-25,63.31354
