date,채권투자
2022-11-20,20.73342
2022-11-21,27.64456
2022-11-22,35.26093
2022-11-23,29.90126
2022-11-24,29.12552
2022-11-25,33.14527
2022-11-26,24.40056
2022-11-27,21.79125
2022-11-28,36.38928
2022-11-29,34.34414
2022-11-30,25.811
2022-12-01,22.35543
2022-12-02,19.81664
2022-12-03,12.05923
2022-12-04,19.18194
2022-12-05,23.48377
2022-12-06,27.99717
2022-12-07,24.82369
2022-12-08,25.52891
2022-12-09,30.11283
2022-12-10,18.61777
2022-12-11,20.6629
2022-12-12,28.77291
2022-12-13,39.7038
2022-12-14,31.10014
2022-12-15,27.99717
2022-12-16,22.9196
2022-12-17,17.41889
2022-12-18,21.22708
2022-12-19,25.95204
2022-12-20,25.45839
2022-12-21,26.09308
2022-12-22,25.74047
2022-12-23,27.00987
2022-12-24,17.84203
2022-12-25,18.75881
2022-12-26,22.49647
2022-12-27,27.85613
2022-12-28,26.86882
2022-12-29,22.07334
2022-12-30,18.68829
2022-12-31,15.1622
2023-01-01,17.20733
2023-01-02,24.68265
2023-01-03,26.65726
2023-01-04,24.61212
2023-01-05,27.99717
2023-01-06,26.23413
2023-01-07,18.19464
2023-01-08,23.48377
2023-01-09,27.50352
2023-01-10,28.49083
2023-01-11,31.87588
2023-01-12,30.677
2023-01-13,30.677
2023-01-14,19.67559
2023-01-15,20.87447
2023-01-16,25.1763
2023-01-17,28.13822
2023-01-18,21.15655
2023-01-19,22.56699
2023-01-20,17.91255
2023-01-21,14.73906
2023-01-22,14.59802
2023-01-23,17.91255
2023-01-24,19.74612
2023-01-25,26.30465
2023-01-26,26.72778
2023-01-27,20.23977
2023-01-28,16.92524
2023-01-29,24.75317
2023-01-30,22.70803
2023-01-31,23.83638
2023-02-01,28.49083
2023-02-02,30.3244
2023-02-03,23.90691
2023-02-04,19.11142
2023-02-05,20.87447
2023-02-06,26.23413
2023-02-07,20.87447
2023-02-08,27.85613
2023-02-09,19.81664
2023-02-10,21.65021
2023-02-11,14.80959
2023-02-12,14.03385
2023-02-13,24.33004
2023-02-14,23.97743
2023-02-15,24.18899
2023-02-16,21.65021
2023-02-17,30.25387
2023-02-18,19.74612
2023-02-19,15.72637
2023-02-20,24.18899
2023-02-21,26.30465
2023-02-22,26.16361
2023-02-23,26.16361
2023-02-24,24.75317
2023-02-25,17.27785
2023-02-26,14.38645
2023-02-27,22.35543
2023-02-28,24.40056
2023-03-01,33.77997
2023-03-02,31.45275
2023-03-03,26.51622
2023-03-04,18.54724
2023-03-05,21.01551
2023-03-06,26.16361
2023-03-07,25.31734
2023-03-08,26.16361
2023-03-09,26.30465
2023-03-10,25.38787
2023-03-11,17.48942
2023-03-12,20.45133
2023-03-13,28.98448
2023-03-14,32.9337
2023-03-15,32.72214
2023-03-16,30.25387
2023-03-17,27.22143
2023-03-18,20.09873
2023-03-19,21.15655
2023-03-20,31.38222
2023-03-21,30.25387
2023-03-22,27.50352
2023-03-23,25.52891
2023-03-24,23.76586
2023-03-25,17.13681
2023-03-26,23.27221
2023-03-27,33.92101
2023-03-28,33.5684
2023-03-29,25.24682
2023-03-30,27.85613
2023-03-31,23.97743
2023-04-01,16.57263
2023-04-02,17.91255
2023-04-03,21.79125
2023-04-04,23.20169
2023-04-05,24.18899
2023-04-06,20.09873
2023-04-07,21.15655
2023-04-08,13.18758
2023-04-09,17.41889
2023-04-10,24.68265
2023-04-11,25.1763
2023-04-12,24.18899
2023-04-13,23.27221
2023-04-14,25.59943
2023-04-15,16.29055
2023-04-16,18.89985
2023-04-17,28.70239
2023-04-18,27.57404
2023-04-19,26.09308
2023-04-20,25.66995
2023-04-21,26.16361
2023-04-22,13.25811
2023-04-23,15.37376
2023-04-24,18.75881
2023-04-25,24.11847
2023-04-26,22.00282
2023-04-27,19.25246
2023-04-28,17.13681
2023-04-29,12.9055
2023-04-30,12.62341
2023-05-01,14.24541
2023-05-02,18.61777
2023-05-03,18.54724
2023-05-04,19.53455
2023-05-05,14.31593
2023-05-06,15.23272
2023-05-07,14.31593
2023-05-08,21.57968
2023-05-09,24.40056
2023-05-10,17.48942
2023-05-11,16.71368
2023-05-12,15.5148
2023-05-13,9.30888
2023-05-14,11.28349
2023-05-15,17.84203
2023-05-16,17.98307
2023-05-17,19.32299
2023-05-18,18.26516
2023-05-19,20.45133
2023-05-20,11.70662
2023-05-21,23.5543
2023-05-22,22.21438
2023-05-23,23.90691
2023-05-24,21.86177
2023-05-25,21.65021
2023-05-26,20.31029
2023-05-27,13.96332
