date,삼부토건주가
2023-04-29,0.51617
2023-04-30,0.34303
2023-05-01,0.94415
2023-05-02,4.10493
2023-05-03,3.66389
2023-05-04,3.32086
2023-05-05,0.55538
2023-05-06,0.4198
2023-05-07,0.31526
2023-05-08,3.47114
2023-05-09,3.49074
2023-05-10,3.05134
2023-05-11,3.53321
2023-05-12,3.25225
2023-05-13,0.39203
2023-05-14,0.35773
2023-05-15,3.43847
2023-05-16,3.68186
2023-05-17,3.52831
2023-05-18,3.54138
2023-05-19,7.20037
2023-05-20,0.90004
2023-05-21,0.99315
2023-05-22,32.57812
2023-05-23,61.22445
2023-05-24,72.63431
2023-05-25,50.37488
