date,상속세세율
2022-11-03,4.24556
2022-11-04,4.06804
2022-11-05,3.42209
2022-11-06,3.71794
2022-11-07,4.49211
2022-11-08,4.4428
2022-11-09,4.94082
2022-11-10,4.65483
2022-11-11,3.95463
2022-11-12,3.59467
2022-11-13,3.44674
2022-11-14,4.72386
2022-11-15,4.60059
2022-11-16,4.60552
2022-11-17,4.40828
2022-11-18,4.0138
2022-11-19,3.79191
2022-11-20,3.75739
2022-11-21,4.75345
2022-11-22,4.72879
2022-11-23,4.61538
2022-11-24,4.13214
2022-11-25,3.8856
2022-11-26,3.68836
2022-11-27,3.56015
2022-11-28,4.30966
2022-11-29,4.34418
2022-11-30,4.12228
2022-12-01,3.81163
2022-12-02,3.57001
2022-12-03,2.68737
2022-12-04,3.54536
2022-12-05,4.03846
2022-12-06,3.95463
2022-12-07,4.16173
2022-12-08,4.59072
2022-12-09,4.78303
2022-12-10,3.65384
2022-12-11,4.04832
2022-12-12,5.16272
2022-12-13,4.51676
2022-12-14,4.56114
2022-12-15,4.33431
2022-12-16,3.91025
2022-12-17,3.72287
2022-12-18,3.97928
2022-12-19,5.11834
2022-12-20,5.27613
2022-12-21,4.71893
2022-12-22,4.33431
2022-12-23,3.94477
2022-12-24,3.56508
2022-12-25,3.7426
2022-12-26,5.05917
2022-12-27,4.84714
2022-12-28,4.7781
2022-12-29,7.10552
2022-12-30,4.45759
2022-12-31,3.69822
2023-01-01,3.68836
2023-01-02,4.47238
2023-01-03,5.05424
2023-01-04,4.56114
2023-01-05,5.07396
2023-01-06,5.39447
2023-01-07,4.04832
2023-01-08,4.25542
2023-01-09,5.13313
2023-01-10,4.53155
2023-01-11,4.83234
2023-01-12,4.91617
2023-01-13,4.79783
2023-01-14,4.31952
2023-01-15,4.61045
2023-01-16,5.02465
2023-01-17,5.14792
2023-01-18,4.69921
2023-01-19,4.78303
2023-01-20,4.24556
2023-01-21,4.38362
2023-01-22,6.54832
2023-01-23,5.96646
2023-01-24,5.4142
2023-01-25,5.83826
2023-01-26,5.69526
2023-01-27,5.34516
2023-01-28,4.62031
2023-01-29,4.63017
2023-01-30,5.63609
2023-01-31,5.50788
2023-02-01,5.36982
2023-02-02,5.20216
2023-02-03,4.97041
2023-02-04,4.83727
2023-02-05,4.60552
2023-02-06,5.35009
2023-02-07,5.16765
2023-02-08,5.0
2023-02-09,5.55719
2023-02-10,6.85897
2023-02-11,5.52268
2023-02-12,5.46351
2023-02-13,7.2781
2023-02-14,5.4783
2023-02-15,5.39447
2023-02-16,4.91124
2023-02-17,5.04437
2023-02-18,4.26528
2023-02-19,4.48717
2023-02-20,5.26627
2023-02-21,5.26134
2023-02-22,4.90631
2023-02-23,4.78303
2023-02-24,4.96055
2023-02-25,4.0927
2023-02-26,3.87573
2023-02-27,4.63017
2023-02-28,4.68441
2023-03-01,4.57593
2023-03-02,4.68934
2023-03-03,4.39349
2023-03-04,3.70315
2023-03-05,3.64891
2023-03-06,4.80276
2023-03-07,4.40335
2023-03-08,4.30473
2023-03-09,4.39842
2023-03-10,4.428
2023-03-11,3.44674
2023-03-12,3.50591
2023-03-13,4.58086
2023-03-14,4.8422
2023-03-15,4.36883
2023-03-16,4.43293
2023-03-17,4.24063
2023-03-18,4.27514
2023-03-19,3.98915
2023-03-20,4.66962
2023-03-21,4.9852
2023-03-22,4.83727
