date,집에서할수있는부업
2023-02-03,52.43328
2023-02-04,40.34536
2023-02-05,53.21821
2023-02-06,64.20722
2023-02-07,66.87598
2023-02-08,66.87598
2023-02-09,54.63108
2023-02-10,46.93877
2023-02-11,36.5777
2023-02-12,51.33437
2023-02-13,62.48037
2023-02-14,67.34693
2023-02-15,56.82888
2023-02-16,51.33437
2023-02-17,46.15384
2023-02-18,33.90894
2023-02-19,43.17111
2023-02-20,53.84615
2023-02-21,58.71271
2023-02-22,50.39246
2023-02-23,51.0204
2023-02-24,47.09576
2023-02-25,39.87441
2023-02-26,42.54317
2023-02-27,53.37519
2023-02-28,55.25902
2023-03-01,42.70015
2023-03-02,51.0204
2023-03-03,42.07221
2023-03-04,38.46153
2023-03-05,42.54317
2023-03-06,55.41601
2023-03-07,43.3281
2023-03-08,50.07849
2023-03-09,48.8226
2023-03-10,38.77551
2023-03-11,30.45525
2023-03-12,39.40345
2023-03-13,44.74097
2023-03-14,49.9215
2023-03-15,48.97959
2023-03-16,54.31711
2023-03-17,37.20565
2023-03-18,26.21664
2023-03-19,31.0832
2023-03-20,46.6248
2023-03-21,54.47409
2023-03-22,50.86342
2023-03-23,49.60753
2023-03-24,43.79905
2023-03-25,28.8854
2023-03-26,35.94976
2023-03-27,55.57299
2023-03-28,51.96232
2023-03-29,47.40973
2023-03-30,44.89795
2023-03-31,37.20565
2023-04-01,32.33908
2023-04-02,31.86813
2023-04-03,44.427
2023-04-04,48.50863
2023-04-05,49.13657
2023-04-06,55.10204
2023-04-07,40.50235
2023-04-08,26.53061
2023-04-09,33.43799
2023-04-10,43.64207
2023-04-11,49.60753
2023-04-12,51.96232
2023-04-13,48.97959
2023-04-14,44.74097
2023-04-15,37.99058
2023-04-16,39.40345
2023-04-17,50.07849
2023-04-18,53.53218
2023-04-19,50.39246
2023-04-20,52.74725
2023-04-21,39.24646
2023-04-22,29.51334
2023-04-23,30.61224
2023-04-24,51.0204
2023-04-25,59.18367
2023-04-26,59.65463
2023-04-27,50.07849
2023-04-28,36.89167
2023-04-29,36.73469
2023-04-30,34.22291
2023-05-01,38.77551
2023-05-02,49.60753
2023-05-03,45.21193
2023-05-04,40.81632
2023-05-05,37.36263
2023-05-06,37.99058
2023-05-07,40.18838
2023-05-08,50.07849
2023-05-09,41.75824
2023-05-10,43.79905
2023-05-11,39.56043
2023-05-12,40.03139
2023-05-13,29.04238
2023-05-14,31.71114
2023-05-15,46.6248
2023-05-16,52.59026
2023-05-17,44.89795
2023-05-18,48.66562
2023-05-19,42.85714
2023-05-20,28.72841
2023-05-21,33.43799
2023-05-22,51.80533
2023-05-23,51.33437
