date,호텔신라주가
2023-01-19,13.30381
2023-01-20,11.47372
2023-01-21,1.20326
2023-01-22,0.80436
2023-01-23,0.85039
2023-01-24,1.11559
2023-01-25,13.60627
2023-01-26,13.28847
2023-01-27,14.25722
2023-01-28,1.75119
2023-01-29,1.39394
2023-01-30,13.61066
2023-01-31,13.24902
2023-02-01,14.27256
2023-02-02,13.69613
2023-02-03,12.22548
2023-02-04,1.23394
2023-02-05,0.97312
2023-02-06,12.2211
2023-02-07,11.49783
2023-02-08,12.46
2023-02-09,14.63639
2023-02-10,15.33555
2023-02-11,1.47941
2023-02-12,1.33257
2023-02-13,12.73396
2023-02-14,12.51698
2023-02-15,11.49344
2023-02-16,13.98763
2023-02-17,11.53289
2023-02-18,1.11778
2023-02-19,0.97751
2023-02-20,12.49068
2023-02-21,10.83592
2023-02-22,10.07101
2023-02-23,10.72414
2023-02-24,9.1198
2023-02-25,0.87669
2023-02-26,0.68601
2023-02-27,8.69898
2023-02-28,9.68745
2023-03-01,1.56708
2023-03-02,10.60798
2023-03-03,10.41073
2023-03-04,1.05641
2023-03-05,0.95778
2023-03-06,10.58168
2023-03-07,9.95046
2023-03-08,9.49677
2023-03-09,9.62828
2023-03-10,8.42063
2023-03-11,0.90299
2023-03-12,0.68601
2023-03-13,9.32143
2023-03-14,8.5894
2023-03-15,10.11923
2023-03-16,9.25787
2023-03-17,9.11103
2023-03-18,1.19887
2023-03-19,0.82189
2023-03-20,11.56796
2023-03-21,11.12742
2023-03-22,10.34936
2023-03-23,13.72024
2023-03-24,10.7899
2023-03-25,1.01696
2023-03-26,0.71231
2023-03-27,10.46333
2023-03-28,10.08635
2023-03-29,12.54109
2023-03-30,12.05453
2023-03-31,11.41235
2023-04-01,1.14627
2023-04-02,0.93367
2023-04-03,12.5915
2023-04-04,10.7877
2023-04-05,12.01507
2023-04-06,9.74006
2023-04-07,10.10607
2023-04-08,0.99504
2023-04-09,0.67724
2023-04-10,10.43922
2023-04-11,12.57177
2023-04-12,12.81944
2023-04-13,11.19975
2023-04-14,11.20413
2023-04-15,1.0586
2023-04-16,0.9271
2023-04-17,9.83868
2023-04-18,13.95476
2023-04-19,14.00078
2023-04-20,11.0003
2023-04-21,16.93113
2023-04-22,3.10568
2023-04-23,2.27063
2023-04-24,12.82821
2023-04-25,11.2129
2023-04-26,11.30057
2023-04-27,10.9214
2023-04-28,11.25673
2023-04-29,1.54078
2023-04-30,0.94025
2023-05-01,2.43501
2023-05-02,19.86367
2023-05-03,14.3931
2023-05-04,11.21948
2023-05-05,1.5101
2023-05-06,0.8482
2023-05-07,1.80817
2023-05-08,11.21071
2023-05-09,9.60198
2023-05-10,9.79704
2023-05-11,9.76636
2023-05-12,8.51488
2023-05-13,0.73642
2023-05-14,0.71669
2023-05-15,8.66172
2023-05-16,8.45351
2023-05-17,8.77788
2023-05-18,8.85021
2023-05-19,9.36965
2023-05-20,0.96436
2023-05-21,0.77368
2023-05-22,10.15868
2023-05-23,9.66334
2023-05-24,8.63323
