date,부동산정보
2023-04-26,51.94805
2023-04-27,47.61904
2023-04-28,38.52813
2023-04-29,39.82683
2023-04-30,29.87012
2023-05-01,34.19913
2023-05-02,46.75324
2023-05-03,41.12554
2023-05-04,43.29004
2023-05-05,37.22943
2023-05-06,28.13852
2023-05-07,29.87012
2023-05-08,41.12554
2023-05-09,41.12554
2023-05-10,42.42424
2023-05-11,44.15584
2023-05-12,35.06493
2023-05-13,29.87012
2023-05-14,22.51082
2023-05-15,45.88744
2023-05-16,40.69264
2023-05-17,38.96103
2023-05-18,35.93073
2023-05-19,42.85714
2023-05-20,18.61471
2023-05-21,36.79653
2023-05-22,44.58874
2023-05-23,39.39393
2023-05-24,38.96103
2023-05-25,41.12554
