date,진료기록지
2022-12-02,44.82758
2022-12-03,16.09195
2022-12-04,22.41379
2022-12-05,55.74712
2022-12-06,54.5977
2022-12-07,52.29885
2022-12-08,52.87356
2022-12-09,42.52873
2022-12-10,12.06896
2022-12-11,12.64367
2022-12-12,44.82758
2022-12-13,58.62068
2022-12-14,54.02298
2022-12-15,40.22988
2022-12-16,48.85057
2022-12-17,28.16091
2022-12-18,14.94252
2022-12-19,56.89655
2022-12-20,46.55172
2022-12-21,34.48275
2022-12-22,51.72413
2022-12-23,44.25287
2022-12-24,14.94252
2022-12-25,10.91954
2022-12-26,50.0
2022-12-27,59.77011
2022-12-28,52.29885
2022-12-29,51.72413
2022-12-30,35.63218
2022-12-31,14.94252
2023-01-01,17.24137
2023-01-02,55.17241
2023-01-03,52.87356
2023-01-04,61.49425
2023-01-05,52.87356
2023-01-06,47.70114
2023-01-07,15.51724
2023-01-08,13.7931
2023-01-09,55.74712
2023-01-10,67.81609
2023-01-11,55.74712
2023-01-12,44.25287
2023-01-13,54.5977
2023-01-14,18.96551
2023-01-15,16.09195
2023-01-16,48.85057
2023-01-17,44.25287
2023-01-18,47.70114
2023-01-19,57.47126
2023-01-20,37.35632
2023-01-21,6.89655
2023-01-22,7.47126
2023-01-23,11.49425
2023-01-24,13.7931
2023-01-25,49.42528
2023-01-26,59.77011
2023-01-27,56.89655
2023-01-28,12.06896
2023-01-29,6.32183
2023-01-30,48.85057
2023-01-31,59.77011
2023-02-01,67.81609
2023-02-02,52.87356
2023-02-03,52.29885
2023-02-04,24.71264
2023-02-05,17.81609
2023-02-06,66.66666
2023-02-07,60.34482
2023-02-08,55.17241
2023-02-09,63.21839
2023-02-10,49.42528
2023-02-11,25.86206
2023-02-12,9.1954
2023-02-13,78.73563
2023-02-14,66.66666
2023-02-15,56.89655
2023-02-16,52.87356
2023-02-17,36.20689
2023-02-18,24.71264
2023-02-19,14.36781
2023-02-20,56.89655
2023-02-21,68.3908
2023-02-22,58.04597
2023-02-23,66.66666
2023-02-24,64.94252
2023-02-25,28.73563
2023-02-26,20.11494
2023-02-27,54.5977
2023-02-28,75.86206
2023-03-01,24.13793
2023-03-02,56.32183
2023-03-03,59.77011
2023-03-04,33.90804
2023-03-05,15.51724
2023-03-06,64.36781
2023-03-07,57.47126
2023-03-08,71.26436
2023-03-09,67.24137
2023-03-10,58.04597
2023-03-11,32.1839
2023-03-12,22.9885
2023-03-13,81.60919
2023-03-14,63.7931
2023-03-15,48.27586
2023-03-16,59.77011
2023-03-17,82.1839
2023-03-18,19.54022
2023-03-19,20.68965
2023-03-20,79.88505
2023-03-21,82.75862
2023-03-22,72.41379
2023-03-23,75.86206
2023-03-24,64.94252
2023-03-25,33.90804
2023-03-26,21.26436
2023-03-27,68.96551
2023-03-28,71.83908
2023-03-29,72.41379
2023-03-30,61.49425
2023-03-31,63.7931
2023-04-01,25.86206
2023-04-02,17.81609
2023-04-03,56.89655
2023-04-04,86.20689
2023-04-05,63.7931
2023-04-06,56.32183
