date,미수금
2023-03-10,36.76975
2023-03-11,10.58419
2023-03-12,9.14089
2023-03-13,40.06872
2023-03-14,39.93127
2023-03-15,43.78006
2023-03-16,44.53608
2023-03-17,35.80756
2023-03-18,12.16494
2023-03-19,11.40893
2023-03-20,41.92439
2023-03-21,46.25429
2023-03-22,37.45704
2023-03-23,41.78694
2023-03-24,32.98969
2023-03-25,11.89003
2023-03-26,12.57731
2023-03-27,38.14432
2023-03-28,39.10652
2023-03-29,37.52577
2023-03-30,40.89347
2023-03-31,38.28178
2023-04-01,12.23367
2023-04-02,11.68384
2023-04-03,39.31271
2023-04-04,36.97594
2023-04-05,39.38144
2023-04-06,39.24398
2023-04-07,35.46391
2023-04-08,13.33333
2023-04-09,14.36426
2023-04-10,37.80068
2023-04-11,38.35051
2023-04-12,39.86254
2023-04-13,38.00687
2023-04-14,33.33333
2023-04-15,16.21993
2023-04-16,12.50859
2023-04-17,39.86254
2023-04-18,37.38831
2023-04-19,38.96907
2023-04-20,38.00687
2023-04-21,35.80756
2023-04-22,12.37113
2023-04-23,15.05154
2023-04-24,41.30584
2023-04-25,38.83161
2023-04-26,39.24398
2023-04-27,31.95876
2023-04-28,32.43986
2023-04-29,8.86597
2023-04-30,7.14776
2023-05-01,15.87628
2023-05-02,35.12027
2023-05-03,32.09621
2023-05-04,29.20962
2023-05-05,11.40893
2023-05-06,8.24742
2023-05-07,8.59106
2023-05-08,30.51546
2023-05-09,35.46391
2023-05-10,33.05841
2023-05-11,39.5189
2023-05-12,30.30927
2023-05-13,9.82817
2023-05-14,9.27835
2023-05-15,31.06529
2023-05-16,35.87628
2023-05-17,31.75257
2023-05-18,32.57731
2023-05-19,29.8969
2023-05-20,9.55326
2023-05-21,7.90378
2023-05-22,31.3402
2023-05-23,33.05841
2023-05-24,33.12714
2023-05-25,32.37113
2023-05-26,25.84192
2023-05-27,7.69759
