date,설치미술
2023-01-14,10.07751
2023-01-15,18.60465
2023-01-16,17.44186
2023-01-17,25.19379
2023-01-18,20.93023
2023-01-19,18.21705
2023-01-20,15.11627
2023-01-21,11.6279
2023-01-22,10.46511
2023-01-23,13.17829
2023-01-24,13.95348
2023-01-25,18.60465
2023-01-26,23.25581
2023-01-27,20.15503
2023-01-28,17.05426
2023-01-29,18.21705
2023-01-30,25.19379
2023-01-31,19.37984
2023-02-01,21.70542
2023-02-02,26.35658
2023-02-03,28.29457
2023-02-04,23.64341
2023-02-05,24.031
2023-02-06,27.13178
2023-02-07,33.72093
2023-02-08,41.86046
2023-02-09,37.98449
2023-02-10,27.51937
2023-02-11,22.86821
2023-02-12,32.94573
2023-02-13,28.68217
2023-02-14,24.8062
2023-02-15,19.76744
2023-02-16,18.99224
2023-02-17,20.93023
2023-02-18,21.31782
2023-02-19,17.82945
2023-02-20,23.64341
2023-02-21,22.86821
2023-02-22,18.60465
2023-02-23,20.54263
2023-02-24,17.82945
2023-02-25,22.48062
2023-02-26,18.21705
2023-02-27,19.37984
2023-02-28,27.13178
2023-03-01,31.00775
2023-03-02,28.68217
2023-03-03,21.70542
2023-03-04,18.21705
2023-03-05,27.13178
2023-03-06,27.13178
2023-03-07,35.65891
2023-03-08,43.02325
2023-03-09,40.69767
2023-03-10,35.65891
2023-03-11,24.4186
2023-03-12,32.17054
2023-03-13,35.27131
2023-03-14,39.14728
2023-03-15,46.51162
2023-03-16,37.59689
2023-03-17,35.65891
2023-03-18,27.90697
2023-03-19,26.35658
2023-03-20,41.86046
2023-03-21,37.2093
2023-03-22,31.00775
2023-03-23,35.65891
2023-03-24,20.93023
2023-03-25,18.99224
2023-03-26,24.4186
2023-03-27,34.49612
2023-03-28,32.55813
2023-03-29,35.27131
2023-03-30,46.89922
2023-03-31,29.06976
2023-04-01,25.58139
2023-04-02,25.96899
2023-04-03,26.74418
2023-04-04,48.44961
2023-04-05,37.59689
2023-04-06,29.84496
2023-04-07,29.06976
2023-04-08,15.11627
2023-04-09,22.09302
2023-04-10,49.2248
2023-04-11,44.96124
2023-04-12,51.93798
2023-04-13,47.28682
2023-04-14,27.90697
2023-04-15,18.99224
2023-04-16,26.74418
2023-04-17,48.06201
2023-04-18,34.88372
2023-04-19,36.04651
2023-04-20,35.65891
2023-04-21,24.4186
2023-04-22,12.79069
2023-04-23,22.48062
2023-04-24,25.58139
2023-04-25,22.48062
2023-04-26,23.25581
2023-04-27,22.86821
2023-04-28,23.64341
2023-04-29,22.86821
2023-04-30,17.44186
2023-05-01,25.96899
2023-05-02,31.00775
2023-05-03,20.54263
2023-05-04,25.96899
2023-05-05,15.89147
2023-05-06,17.82945
2023-05-07,22.86821
2023-05-08,26.35658
2023-05-09,37.98449
2023-05-10,25.58139
2023-05-11,34.10852
2023-05-12,28.68217
2023-05-13,16.27906
