date,저PBR
2022-06-16,0.10856
2022-06-17,0.20506
2022-06-18,0.26537
2022-06-19,0.16887
2022-06-20,0.18094
2022-06-21,0.13268
2022-06-22,0.44632
2022-06-23,0.4825
2022-06-24,0.25331
2022-06-25,0.15681
2022-06-26,0.10856
2022-06-27,0.14475
2022-06-28,0.15681
2022-06-29,0.12062
2022-06-30,0.24125
2022-07-01,0.193
2022-07-02,0.33775
2022-07-03,0.26537
2022-07-04,0.16887
2022-07-05,0.36188
2022-07-06,0.21712
2022-07-07,0.07237
2022-07-08,0.2895
2022-07-09,0.0965
2022-07-10,0.0965
2022-07-11,0.08443
2022-07-12,0.21712
2022-07-13,0.14475
2022-07-14,0.34981
2022-07-15,0.08443
2022-07-16,0.08443
2022-07-17,0.15681
2022-07-18,0.07237
2022-07-19,0.27744
2022-07-20,0.15681
2022-07-21,0.25331
2022-07-23,0.07237
2022-07-24,0.20506
2022-07-25,0.10856
2022-07-26,0.07237
2022-07-27,0.07237
2022-07-28,0.07237
2022-07-29,0.0965
2022-07-30,0.193
2022-07-31,0.06031
2022-08-01,0.16887
2022-08-02,0.21712
2022-08-03,0.0965
2022-08-04,0.13268
2022-08-05,0.14475
2022-08-06,0.0965
2022-08-07,0.13268
2022-08-08,0.14475
2022-08-09,0.12062
2022-08-10,0.14475
2022-08-11,0.06031
2022-08-12,0.10856
2022-08-13,0.18094
2022-08-14,0.07237
2022-08-15,0.193
2022-08-16,0.26537
2022-08-17,0.193
2022-08-18,0.16887
2022-08-19,0.20506
2022-08-20,0.0965
2022-08-21,0.20506
2022-08-22,0.10856
2022-08-23,0.12062
2022-08-24,0.08443
2022-08-25,0.07237
2022-08-26,0.08443
2022-08-27,0.07237
2022-08-28,0.193
2022-08-29,0.13268
2022-09-01,0.07237
2022-09-02,0.12062
2022-09-03,0.08443
2022-09-04,0.10856
2022-09-06,0.06031
2022-09-07,0.0965
2022-09-08,0.12062
2022-09-10,0.07237
2022-09-11,0.06031
2022-09-13,0.06031
2022-09-15,0.193
2022-09-17,0.07237
2022-09-20,0.08443
2022-09-21,0.0965
2022-09-23,0.12062
2022-09-24,0.15681
2022-09-25,0.16887
2022-09-26,0.30156
2022-09-27,0.16887
2022-09-28,0.33775
2022-09-29,0.22919
2022-09-30,0.10856
2022-10-01,0.10856
2022-10-02,0.10856
2022-10-03,0.193
2022-10-04,0.10856
2022-10-05,0.12062
2022-10-06,0.16887
2022-10-07,0.13268
2022-10-08,0.0965
2022-10-09,0.12062
2022-10-10,0.14475
2022-10-11,0.67551
2022-10-12,0.60313
2022-10-13,0.49457
2022-10-14,0.32569
2022-10-15,0.30156
2022-10-16,0.21712
2022-10-17,0.22919
2022-10-18,0.193
2022-10-19,0.14475
2022-10-20,0.26537
2022-10-21,0.22919
2022-10-22,0.32569
2022-10-23,0.2895
2022-10-24,0.44632
2022-10-25,0.13268
2022-10-26,0.10856
2022-10-27,0.0965
2022-10-28,0.15681
2022-10-29,0.07237
2022-10-30,0.10856
2022-10-31,0.20506
2022-11-01,0.12062
2022-11-02,0.18094
2022-11-03,0.30156
2022-11-04,0.06031
2022-11-05,0.06031
2022-11-06,0.10856
2022-11-07,0.193
2022-11-08,0.10856
2022-11-09,0.21712
2022-11-10,0.10856
2022-11-11,0.07237
2022-11-12,0.15681
2022-11-13,0.06031
2022-11-14,0.193
2022-11-15,0.20506
2022-11-16,0.22919
2022-11-17,0.15681
2022-11-18,0.20506
2022-11-19,0.18094
2022-11-20,0.12062
2022-11-21,0.20506
2022-11-22,0.22919
2022-11-23,0.25331
2022-11-24,0.12062
2022-11-25,0.14475
2022-11-26,0.18094
2022-11-27,0.06031
2022-11-28,0.12062
2022-11-29,0.16887
2022-11-30,0.26537
