date,증여상속
2023-03-21,39.0681
2023-03-22,35.84229
2023-03-23,39.0681
2023-03-24,28.67383
2023-03-25,26.88172
2023-03-26,28.31541
2023-03-27,46.9534
2023-03-28,35.12544
2023-03-29,29.7491
2023-03-30,32.97491
2023-03-31,29.03225
2023-04-01,22.58064
2023-04-02,25.80645
2023-04-03,41.93548
2023-04-04,38.35125
2023-04-05,37.99283
2023-04-06,36.20071
2023-04-07,32.97491
2023-04-08,24.37275
2023-04-09,25.44802
2023-04-10,37.99283
2023-04-11,31.54121
2023-04-12,27.59856
2023-04-13,32.25806
2023-04-14,27.24014
2023-04-15,23.65591
2023-04-16,30.82437
2023-04-17,43.01075
2023-04-18,33.33333
2023-04-19,27.59856
2023-04-20,30.46594
2023-04-21,35.12544
2023-04-22,23.29749
2023-04-23,25.0896
2023-04-24,43.36917
2023-04-25,40.14336
2023-04-26,36.55913
2023-04-27,30.82437
2023-04-28,27.95698
2023-04-29,24.73118
2023-04-30,21.86379
2023-05-01,32.61648
2023-05-02,33.33333
2023-05-03,31.89964
2023-05-04,27.95698
2023-05-05,22.93906
2023-05-06,25.80645
2023-05-07,24.73118
2023-05-08,47.67025
2023-05-09,38.70967
2023-05-10,32.61648
2023-05-11,40.14336
2023-05-12,37.27598
2023-05-13,25.0896
2023-05-14,31.54121
2023-05-15,35.84229
2023-05-16,34.76702
2023-05-17,37.99283
2023-05-18,32.25806
2023-05-19,30.46594
2023-05-20,21.50537
2023-05-21,33.33333
2023-05-22,35.84229
2023-05-23,37.27598
2023-05-24,30.46594
2023-05-25,30.82437
