date,기아주식
2022-06-03,9.62492
2022-06-04,1.54792
2022-06-05,1.2304
2022-06-06,1.82575
2022-06-07,8.39452
2022-06-08,9.64477
2022-06-09,9.82337
2022-06-10,8.75173
2022-06-11,1.88529
2022-06-12,1.68684
2022-06-13,11.25223
2022-06-14,11.53006
2022-06-15,12.93907
2022-06-16,11.43083
2022-06-17,11.23238
2022-06-18,2.48065
2022-06-19,1.38916
2022-06-20,10.18059
2022-06-21,11.7682
2022-06-22,10.57749
2022-06-23,11.86743
2022-06-24,11.49037
2022-06-25,2.10359
2022-06-26,1.56777
2022-06-27,13.73288
2022-06-28,12.08573
2022-06-29,13.85195
2022-06-30,12.62155
2022-07-01,10.49811
2022-07-02,2.32188
2022-07-03,1.21055
2022-07-04,10.1409
2022-07-05,10.61718
2022-07-06,9.98213
2022-07-07,10.35919
2022-07-08,10.20043
2022-07-09,1.70668
2022-07-10,1.25024
2022-07-11,9.96229
2022-07-12,10.49811
2022-07-13,10.45842
2022-07-14,9.56538
2022-07-15,10.27981
2022-07-16,1.78606
2022-07-17,1.52808
2022-07-18,11.19269
2022-07-19,14.68545
2022-07-20,13.55427
2022-07-21,13.97102
2022-07-22,15.38003
2022-07-23,3.13554
2022-07-24,1.46854
2022-07-25,13.37566
2022-07-26,10.9347
2022-07-27,11.07362
2022-07-28,10.65687
2022-07-29,10.71641
2022-07-30,2.02421
2022-07-31,1.15102
2022-08-01,10.49811
2022-08-02,9.96229
2022-08-03,9.52569
2022-08-04,9.78368
2022-08-05,8.65251
2022-08-06,1.96467
2022-08-07,2.02421
2022-08-08,10.73625
2022-08-09,10.18059
2022-08-10,9.50585
2022-08-11,9.88291
2022-08-12,11.09347
2022-08-13,2.0639
2022-08-14,1.6273
2022-08-15,2.10359
2022-08-16,11.153
2022-08-17,15.89601
2022-08-18,16.31276
2022-08-19,12.58186
2022-08-20,2.12343
2022-08-21,1.98452
2022-08-22,9.80353
2022-08-23,10.43857
2022-08-24,10.04167
2022-08-25,11.35145
2022-08-26,11.01409
2022-08-27,1.92498
2022-08-28,1.64715
2022-08-29,9.44631
2022-08-30,15.41972
2022-08-31,13.93133
2022-09-01,11.33161
2022-09-02,11.25223
2022-09-03,2.18297
2022-09-04,1.82575
2022-09-05,10.1409
2022-09-06,8.97003
2022-09-07,10.81563
2022-09-08,8.8708
2022-09-09,1.78606
2022-09-10,1.72653
2022-09-11,1.28993
2022-09-12,1.70668
2022-09-13,10.83548
2022-09-14,10.43857
2022-09-15,9.3074
2022-09-16,9.56538
2022-09-17,1.34947
2022-09-18,1.50823
2022-09-19,8.73189
2022-09-20,8.27545
2022-09-21,8.15638
2022-09-22,8.91049
2022-09-23,8.8708
2022-09-24,1.94483
2022-09-25,1.74637
2022-09-26,10.87517
2022-09-27,11.78805
2022-09-28,11.07362
2022-09-29,11.01409
2022-09-30,11.64913
2022-10-01,2.52034
2022-10-02,2.02421
2022-10-03,2.08374
2022-10-04,10.85532
2022-10-05,15.12204
2022-10-06,10.89501
2022-10-07,9.16848
2022-10-08,1.92498
2022-10-09,1.82575
2022-10-10,2.50049
2022-10-11,14.50684
2022-10-12,13.73288
2022-10-13,12.34371
2022-10-14,12.26433
2022-10-15,2.93709
2022-10-16,1.86544
2022-10-17,12.14526
2022-10-18,12.93907
2022-10-19,11.90712
2022-10-20,10.02182
2022-10-21,8.55328
2022-10-22,2.38142
2022-10-23,2.00436
2022-10-24,16.66997
2022-10-25,14.56638
2022-10-26,14.6656
2022-10-27,13.13752
2022-10-28,11.31176
2022-10-29,2.02421
2022-10-30,1.58761
2022-10-31,11.35145
2022-11-01,11.27207
2022-11-02,11.43083
2022-11-03,13.67334
2022-11-04,13.75272
2022-11-05,2.0639
2022-11-06,2.0639
2022-11-07,16.49136
2022-11-08,16.9478
2022-11-09,15.16173
2022-11-10,13.01845
2022-11-11,15.59833
2022-11-12,3.01647
2022-11-13,2.50049
2022-11-14,16.3326
2022-11-15,16.29291
2022-11-16,15.22127
2022-11-17,15.2808
2022-11-18,15.73724
2022-11-19,3.17523
2022-11-20,2.79817
2022-11-21,19.92458
2022-11-22,17.84084
2022-11-23,16.35245
2022-11-24,15.57848
2022-11-25,12.40325
2022-11-26,2.59972
2022-11-27,2.02421
2022-11-28,12.72077
2022-11-29,15.18158
2022-11-30,16.19368
2022-12-01,16.17384
2022-12-02,12.76046
2022-12-03,1.94483
2022-12-04,1.96467
2022-12-05,13.55427
2022-12-06,11.66898
2022-12-07,12.48263
2022-12-08,12.93907
2022-12-09,12.48263
2022-12-10,1.94483
2022-12-11,2.30204
2022-12-12,11.54991
2022-12-13,22.50446
2022-12-14,16.19368
2022-12-15,12.26433
2022-12-16,10.95455
2022-12-17,2.63941
2022-12-18,2.02421
2022-12-19,14.18932
2022-12-20,13.45505
2022-12-21,12.78031
2022-12-22,12.04604
2022-12-23,10.77594
2022-12-24,1.72653
2022-12-25,2.02421
2022-12-26,11.74836
2022-12-27,12.46279
2022-12-28,16.92796
2022-12-29,15.55864
2022-12-30,8.35483
2022-12-31,2.04405
2023-01-01,1.76622
2023-01-02,15.81663
2023-01-03,14.96328
2023-01-04,15.79678
2023-01-05,14.28854
2023-01-06,14.64576
2023-01-07,2.10359
2023-01-08,1.72653
2023-01-09,17.80115
2023-01-10,16.29291
2023-01-11,14.84421
2023-01-12,14.16947
2023-01-13,16.66997
2023-01-14,2.50049
2023-01-15,1.78606
2023-01-16,15.39988
2023-01-17,14.82436
2023-01-18,12.18495
2023-01-19,12.6017
2023-01-20,11.33161
2023-01-21,1.74637
2023-01-22,1.50823
2023-01-23,1.98452
2023-01-24,2.56003
2023-01-25,14.64576
2023-01-26,24.8065
2023-01-27,27.28716
2023-01-28,4.60408
2023-01-29,2.83786
2023-01-30,19.98412
2023-01-31,15.75709
2023-02-01,20.75808
2023-02-02,19.64675
