date,에쿼티
2023-03-29,46.8944
2023-03-30,45.34161
2023-03-31,36.95652
2023-04-01,13.66459
2023-04-02,13.35403
2023-04-03,36.95652
2023-04-04,42.54658
2023-04-05,36.64596
2023-04-06,39.44099
2023-04-07,31.67701
2023-04-08,13.04347
2023-04-09,14.28571
2023-04-10,35.09316
2023-04-11,43.47826
2023-04-12,44.72049
2023-04-13,52.79503
2023-04-14,52.17391
2023-04-15,23.60248
2023-04-16,25.77639
2023-04-17,53.10559
2023-04-18,48.13664
2023-04-19,49.68944
2023-04-20,44.09937
2023-04-21,39.13043
2023-04-22,19.87577
2023-04-23,17.3913
2023-04-24,33.22981
2023-04-25,47.82608
2023-04-26,49.06832
2023-04-27,36.95652
2023-04-28,34.7826
2023-04-29,17.3913
2023-04-30,10.86956
2023-05-01,18.94409
2023-05-02,34.7826
2023-05-03,37.26708
2023-05-04,27.63975
2023-05-05,9.93788
2023-05-06,13.97515
2023-05-07,16.45962
2023-05-08,32.29813
2023-05-09,37.88819
2023-05-10,41.6149
2023-05-11,36.02484
2023-05-12,32.29813
2023-05-13,14.90683
2023-05-14,15.8385
2023-05-15,36.02484
2023-05-16,45.34161
2023-05-17,36.02484
2023-05-18,40.06211
2023-05-19,32.29813
2023-05-20,14.28571
2023-05-21,16.77018
2023-05-22,33.85093
2023-05-23,33.54037
2023-05-24,45.03105
2023-05-25,37.26708
2023-05-26,30.12422
