date,채권채무
2022-12-01,37.85714
2022-12-02,31.42857
2022-12-03,17.14285
2022-12-04,12.85714
2022-12-05,42.14285
2022-12-06,47.14285
2022-12-07,42.85714
2022-12-08,37.85714
2022-12-09,36.42857
2022-12-10,15.71428
2022-12-11,14.28571
2022-12-12,42.85714
2022-12-13,48.57142
2022-12-14,40.0
2022-12-15,40.0
2022-12-16,30.0
2022-12-17,19.28571
2022-12-18,12.14285
2022-12-19,28.57142
2022-12-20,37.14285
2022-12-21,25.0
2022-12-22,42.14285
2022-12-23,16.42857
2022-12-24,6.42857
2022-12-25,10.71428
2022-12-26,36.42857
2022-12-27,46.42857
2022-12-28,32.85714
2022-12-29,37.85714
2022-12-30,30.0
2022-12-31,10.0
2023-01-01,15.71428
2023-01-02,35.0
2023-01-03,45.71428
2023-01-04,57.14285
2023-01-05,35.0
2023-01-06,47.14285
2023-01-07,12.85714
2023-01-08,17.85714
2023-01-09,44.28571
2023-01-10,60.0
2023-01-11,68.57142
2023-01-12,48.57142
2023-01-13,50.71428
2023-01-14,20.71428
2023-01-15,25.71428
2023-01-16,64.28571
2023-01-17,81.42857
2023-01-18,80.0
2023-01-19,69.28571
2023-01-20,42.85714
2023-01-21,7.85714
2023-01-22,8.57142
2023-01-23,11.42857
2023-01-24,17.85714
2023-01-25,61.42857
2023-01-26,82.85714
2023-01-27,69.28571
2023-01-28,25.71428
2023-01-29,17.14285
2023-01-30,81.42857
2023-01-31,82.14285
2023-02-01,76.42857
2023-02-02,77.14285
2023-02-03,66.42857
2023-02-04,20.71428
2023-02-05,24.28571
2023-02-06,74.28571
2023-02-07,88.57142
2023-02-08,80.71428
2023-02-09,77.85714
2023-02-10,70.0
2023-02-11,10.0
2023-02-12,25.71428
2023-02-13,77.85714
2023-02-14,80.0
2023-02-15,75.0
2023-02-16,62.85714
2023-02-17,55.71428
2023-02-18,17.14285
2023-02-19,15.0
2023-02-20,75.0
2023-02-21,74.28571
2023-02-22,75.0
2023-02-23,64.28571
2023-02-24,52.85714
2023-02-25,13.57142
2023-02-26,13.57142
2023-02-27,58.57142
2023-02-28,53.57142
2023-03-01,17.85714
2023-03-02,53.57142
2023-03-03,59.28571
2023-03-04,22.14285
2023-03-05,16.42857
2023-03-06,67.85714
2023-03-07,77.85714
2023-03-08,73.57142
2023-03-09,62.85714
2023-03-10,57.14285
2023-03-11,25.71428
2023-03-12,20.71428
2023-03-13,69.28571
2023-03-14,65.71428
2023-03-15,65.0
2023-03-16,57.14285
2023-03-17,57.14285
2023-03-18,28.57142
2023-03-19,27.14285
2023-03-20,58.57142
2023-03-21,60.0
2023-03-22,61.42857
2023-03-23,62.85714
2023-03-24,38.57142
