date,주식시세표
2023-04-06,15.58589
2023-04-07,13.36746
2023-04-08,3.07167
2023-04-09,1.53583
2023-04-10,14.44823
2023-04-11,13.82252
2023-04-12,13.70875
2023-04-13,13.8794
2023-04-14,16.72354
2023-04-15,3.24232
2023-04-16,2.33219
2023-04-17,14.33447
2023-04-18,15.18771
2023-04-19,15.8703
2023-04-20,14.61888
2023-04-21,11.54721
2023-04-22,2.50284
2023-04-23,1.59271
2023-04-24,13.31058
2023-04-25,13.02616
2023-04-26,14.73265
2023-04-27,15.35836
2023-04-28,12.96928
2023-04-29,2.50284
2023-04-30,1.3083
2023-05-01,4.03868
2023-05-02,12.62798
2023-05-03,12.5711
2023-05-04,12.96928
2023-05-05,3.58361
2023-05-06,2.44596
2023-05-07,1.53583
2023-05-08,11.37656
2023-05-09,10.97838
2023-05-10,11.60409
2023-05-11,10.35267
2023-05-12,10.97838
2023-05-13,1.70648
2023-05-14,1.47895
2023-05-15,9.04436
2023-05-16,11.09215
2023-05-17,10.5802
2023-05-18,9.67007
2023-05-19,11.66097
2023-05-20,3.01478
2023-05-21,1.42207
2023-05-22,11.83162
2023-05-23,11.94539
2023-05-24,11.49032
2023-05-25,10.46643
